"Question","Scenario","term","p.value","q_value","Status"
"A","MedicalSimple","EXPLN_S1Hardware",0.672586057889851,0.985425337100845,""
"A","MedicalSimple","EXPLN_S1Trust",0.692787304550237,0.692787304550237,""
"A","MedicalSimple","EXPLN_S2Untechnical",0.842135009174139,0.8587007369751,""
"A","MedicalSimple","EXPLN_S3Prevents",0.627731880505918,0.627731880505918,""
"A","MedicalSimple","combined_Medical_ExperienceTRUE",0.0759285951476656,0.151857190295331,""
"A","MedicalSimple","combined_CS_ExperienceTRUE",0.726082300024884,0.726082300024884,""
"A","MedicalComplex","EXPLN_S1Hardware",0.985425337100845,0.985425337100845,""
"A","MedicalComplex","EXPLN_S1Trust",0.105725784556786,0.244738575116126,""
"A","MedicalComplex","EXPLN_S2Untechnical",0.741865112745229,0.8587007369751,""
"A","MedicalComplex","EXPLN_S3Prevents",0.460172055165069,0.627731880505918,""
"A","MedicalComplex","combined_Medical_ExperienceTRUE",0.714479359089119,0.714479359089119,""
"A","MedicalComplex","combined_CS_ExperienceTRUE",0.0446017108830366,0.0892034217660732,"Lost significance"
"A","IoTSimple","EXPLN_S1Hardware",0.970019382382783,0.985425337100845,""
"A","IoTSimple","EXPLN_S1Trust",0.614011773583225,0.692787304550237,""
"A","IoTSimple","EXPLN_S2Untechnical",0.835557530663373,0.8587007369751,""
"A","IoTSimple","EXPLN_S3Prevents",0.28073680064907,0.627731880505918,""
"A","IoTSimple","combined_IoT_ExperienceTRUE",0.992138230589406,0.992138230589406,""
"A","IoTSimple","combined_CS_ExperienceTRUE",0.0267727316748757,0.0892034217660732,"Lost significance"
"A","IoTComplex","EXPLN_S1Hardware",0.517470454597142,0.985425337100845,""
"A","IoTComplex","EXPLN_S1Trust",0.122369287558063,0.244738575116126,""
"A","IoTComplex","EXPLN_S2Untechnical",0.8587007369751,0.8587007369751,""
"A","IoTComplex","EXPLN_S3Prevents",0.531802527242973,0.627731880505918,""
"A","IoTComplex","combined_IoT_ExperienceTRUE",0.58731251002209,0.992138230589406,""
"A","IoTComplex","combined_CS_ExperienceTRUE",0.298451132170602,0.397934842894135,""
"B","MedicalSimple","EXPLN_S1Hardware",0.164655455700014,0.329310911400028,""
"B","MedicalSimple","EXPLN_S1Trust",0.369202242936944,0.44354583595817,""
"B","MedicalSimple","EXPLN_S2Untechnical",0.0069802421651793,0.0279209686607172,"Stayed significant"
"B","MedicalSimple","EXPLN_S3Prevents",0.856725503026601,0.99631330498511,""
"B","MedicalSimple","combined_Medical_ExperienceTRUE",0.901086843091743,0.901086843091743,""
"B","MedicalSimple","combined_CS_ExperienceTRUE",0.547088610425541,0.547088610425541,""
"B","MedicalComplex","EXPLN_S1Hardware",0.154968723417028,0.329310911400028,""
