"Question","Scenario","term","p.value","q_value","Status"
"Q1","MedicalSimple","EXPLNUnsubstantial",0.586733966078239,0.586733966078239,""
"Q1","MedicalSimple","EXPLNHardware",0.580281043234864,0.615105497583744,""
"Q1","MedicalSimple","EXPLNTrust",0.696911780351635,0.778201056600887,""
"Q1","MedicalSimple","FAQHide",0.992767607736818,0.996477409954109,""
"Q1","MedicalSimple","FAQShow",0.4240386977537,0.821089613352275,""
"Q1","MedicalSimple","combined_Medical_ExperienceTRUE",0.118406066596113,0.236812133192227,""
"Q1","MedicalSimple","combined_CS_ExperienceTRUE",0.199312901113285,0.265750534817714,""
"Q1","MedicalComplex","EXPLNUnsubstantial",0.282515869364371,0.565031738728741,""
"Q1","MedicalComplex","EXPLNHardware",0.174913523932507,0.615105497583744,""
"Q1","MedicalComplex","EXPLNTrust",0.778201056600887,0.778201056600887,""
"Q1","MedicalComplex","FAQHide",0.996477409954109,0.996477409954109,""
"Q1","MedicalComplex","FAQShow",0.615817210014206,0.821089613352275,""
"Q1","MedicalComplex","combined_Medical_ExperienceTRUE",0.365601471398928,0.365601471398928,""
"Q1","MedicalComplex","combined_CS_ExperienceTRUE",0.435942035033324,0.435942035033324,""
"Q1","IoTSimple","EXPLNUnsubstantial",0.200727150211971,0.565031738728741,""
"Q1","IoTSimple","EXPLNHardware",0.307953652440308,0.615105497583744,""
"Q1","IoTSimple","EXPLNTrust",0.623384943578798,0.778201056600887,""
"Q1","IoTSimple","FAQHide",0.292316046724419,0.996477409954109,""
"Q1","IoTSimple","FAQShow",0.140313230541886,0.561252922167544,""
"Q1","IoTSimple","combined_IoT_ExperienceTRUE",0.61024853162248,0.61024853162248,""
"Q1","IoTSimple","combined_CS_ExperienceTRUE",0.122853646822555,0.245707293645111,""
"Q1","IoTComplex","EXPLNUnsubstantial",0.484226608564246,0.586733966078239,""
"Q1","IoTComplex","EXPLNHardware",0.615105497583744,0.615105497583744,""
"Q1","IoTComplex","EXPLNTrust",0.492020142835456,0.778201056600887,""
"Q1","IoTComplex","FAQHide",0.963401718795946,0.996477409954109,""
"Q1","IoTComplex","FAQShow",0.84769061408073,0.84769061408073,""
"Q1","IoTComplex","combined_IoT_ExperienceTRUE",0.197104689130777,0.394209378261554,""
"Q1","IoTComplex","combined_CS_ExperienceTRUE",0.091882430741793,0.245707293645111,""
"Q2","MedicalSimple","EXPLNUnsubstantial",0.163614340065656,0.327228680131312,""
"Q2","MedicalSimple","EXPLNHardware",0.796039608194413,0.796039608194413,""
"Q2","MedicalSimple","EXPLNTrust",0.0421959338790096,0.168783735516038,"Lost significance"
"Q2","MedicalSimple","FAQHide",0.616434986955398,0.766221386199202,""
"Q2","MedicalSimple","FAQShow",0.196150706359893,0.196150706359893,""
"Q2","MedicalSimple","combined_Medical_ExperienceTRUE",0.143055029109377,0.235088331967913,""
"Q2","MedicalSimple","combined_CS_ExperienceTRUE",0.887642606514486,0.887642606514486,""
"Q2","MedicalComplex","EXPLNUnsubstantial",0.464230141917823,0.618973522557097,""
"Q2","MedicalComplex","EXPLNHardware",0.120428485006225,0.333004253980701,""
