"scenario","aspect","W","p_raw","p_BH","Status"
"MedicalComplex","safety_people",1965,0.244732400308562,0.611831000771404,"Not significant"
"MedicalComplex","safety_data",2258,0.864249920428548,0.864249920428548,"Not significant"
"MedicalComplex","safety_companyHospital",2090,0.463418061668693,0.772363436114488,"Not significant"
"MedicalComplex","safety_purpose",2168,0.63602213747564,0.79502767184455,"Not significant"
"MedicalComplex","safety_tee",1421,0.00259709141278706,0.0129854570639353,"Stayed significant"
"MedicalSimple","safety_people",3412.5,0.0413195229648901,0.103298807412225,"Lost significance"
"MedicalSimple","safety_data",2815.5,0.87088932739586,0.87088932739586,"Not significant"
"MedicalSimple","safety_companyHospital",3285,0.0968873225931013,0.161478870988502,"Not significant"
"MedicalSimple","safety_purpose",2689,0.819312056431863,0.87088932739586,"Not significant"
"MedicalSimple","safety_tee",1638.5,0.000241651108279533,0.00120825554139766,"Stayed significant"
"IoTComplex","safety_people",2580,0.81832437150855,0.81832437150855,"Not significant"
"IoTComplex","safety_data",2363,0.640742215409445,0.81832437150855,"Not significant"
"IoTComplex","safety_companyHospital",2637.5,0.680615041505198,0.81832437150855,"Not significant"
"IoTComplex","safety_purpose",2231,0.374915357324308,0.81832437150855,"Not significant"
"IoTComplex","safety_tee",1483.5,0.000684360402087229,0.00342180201043615,"Stayed significant"
"IoTSimple","safety_people",2309.5,0.390943965361117,0.488679956701397,"Not significant"
"IoTSimple","safety_data",2384,0.540525162369142,0.540525162369142,"Not significant"
"IoTSimple","safety_companyHospital",2263,0.319363324822181,0.488679956701397,"Not significant"
"IoTSimple","safety_purpose",2258.5,0.307669132591924,0.488679956701397,"Not significant"
"IoTSimple","safety_tee",1547.5,0.000520504468632092,0.00260252234316046,"Stayed significant"
