ResponseId,willingness,scenario,safety_post,safety_pre,scenario_complexity,scenario_scenario,EXPLN_S1,EXPLN_S2,EXPLN_S3,age,gender,education,previous_medical_research,medical_job,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience
R_11FzXDrfq1ew6cZ,Maybe would,IoTComplex,Somewhat safe,Somewhat safe,Complex,IoT,Trust,Untechnical,No Prevents,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_12S3UkEpVdKeirv,Definitely would,IoTComplex,Somewhat safe,Completely safe,Complex,IoT,Hardware,Untechnical,Prevents,18-24,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_13YlxdIhkGwKWZ3,Maybe would,IoTComplex,Completely safe,Completely safe,Complex,IoT,Trust,Technical,No Prevents,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_14PdyKRKcyC9mUB,Definitely would,IoTComplex,Not at all safe,Not at all safe,Complex,IoT,Trust,Technical,No Prevents,18-24,Female NB or SD,High school or below,TRUE,TRUE,TRUE,TRUE,FALSE
R_17A5ghNOMhiMzip,Definitely would,IoTComplex,Somewhat safe,Completely safe,Complex,IoT,Trust,Technical,No Prevents,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_17Qo5EW5C0MsXl5,Maybe would,IoTComplex,Completely safe,Somewhat safe,Complex,IoT,Hardware,Untechnical,Prevents,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_17TE5prio7BeEBS,Maybe would,IoTComplex,Somewhat safe,Somewhat safe,Complex,IoT,Hardware,Technical,No Prevents,35-44,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_1Bb46sXAIEaYJoc,Would not,IoTComplex,Somewhat safe,Somewhat safe,Complex,IoT,Unsubstantial,Technical,No Prevents,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE
R_1BbNsDoEUZByxhe,Would not,IoTComplex,Somewhat safe,Not at all safe,Complex,IoT,Hardware,Untechnical,Prevents,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_1D7pcdNbURwTRm0,Would not,IoTComplex,Somewhat safe,Somewhat safe,Complex,IoT,Trust,Untechnical,Prevents,35-44,Male,Bachelor or Graduate degree,TRUE,TRUE,TRUE,TRUE,TRUE
R_1D7uIGhTiygt1b4,Definitely would,IoTComplex,Somewhat safe,Completely safe,Complex,IoT,Unsubstantial,Technical,Prevents,35-44,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_1HXQuluInCw1M1E,Maybe would,IoTComplex,Somewhat safe,Somewhat safe,Complex,IoT,Hardware,Technical,No Prevents,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE
