ResponseId,willingness,scenario,safety_post,safety_pre,scenario_complexity,scenario_scenario,EXPLN_S1,EXPLN_S2,EXPLN_S3,age,gender,education,previous_medical_research,medical_job,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience
R_10AzzI3wJmfkFcd,Definitely would,IoTSimple,Somewhat safe,Somewhat safe,Simple,IoT,Hardware,Untechnical,No Prevents,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_10NZtNKNw0GOfUB,Definitely would,IoTSimple,Somewhat safe,Somewhat safe,Simple,IoT,Unsubstantial,Technical,No Prevents,18-24,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE
R_12X0hmXAAw3oa7T,Maybe would,IoTSimple,Completely safe,Completely safe,Simple,IoT,Trust,Untechnical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_12mf4q3UyXdvtS1,Definitely would,IoTSimple,Completely safe,Completely safe,Simple,IoT,Unsubstantial,Technical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,TRUE,TRUE,TRUE,FALSE
R_13m5UQ2ioHkXEx5,Maybe would,IoTSimple,Somewhat safe,Somewhat safe,Simple,IoT,Unsubstantial,Untechnical,Prevents,35-44,Male,High school or below,FALSE,TRUE,FALSE,TRUE,TRUE
R_13xuE5GNf2JJEil,Maybe would,IoTSimple,Somewhat safe,Somewhat safe,Simple,IoT,Trust,Technical,Prevents,45+,Male,High school or below,FALSE,TRUE,TRUE,TRUE,TRUE
R_147c3Fl0F0zDu0k,Would not,IoTSimple,Completely safe,Completely safe,Simple,IoT,Hardware,Technical,Prevents,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_16wgPFeQY0NPQ53,Definitely would,IoTSimple,Somewhat safe,Completely safe,Simple,IoT,Hardware,Technical,Prevents,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE
R_19OdQEScuXCpTc5,Would not,IoTSimple,Somewhat safe,Somewhat safe,Simple,IoT,Unsubstantial,Untechnical,Prevents,35-44,Female NB or SD,High school or below,FALSE,FALSE,FALSE,FALSE,FALSE
R_19n6U8YqJ8pPRPA,Would not,IoTSimple,Not at all safe,Not at all safe,Simple,IoT,Hardware,Technical,Prevents,35-44,Male,High school or below,FALSE,TRUE,TRUE,TRUE,FALSE
R_19stRKpG4OVbm0N,Maybe would,IoTSimple,Completely safe,Completely safe,Simple,IoT,Unsubstantial,Technical,No Prevents,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE
