ResponseId,willingness,scenario,safety_post,safety_pre,scenario_complexity,scenario_scenario,EXPLN_S1,EXPLN_S2,EXPLN_S3,age,gender,education,previous_medical_research,medical_job,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience
R_10AzzI3wJmfkFcd,Definitely would,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Hardware,Untechnical,No Prevents,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_10NZtNKNw0GOfUB,Definitely would,MedicalComplex,Not at all safe,Somewhat safe,Complex,Medical,Unsubstantial,Technical,No Prevents,18-24,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE
R_11FzXDrfq1ew6cZ,Would not,MedicalComplex,Somewhat safe,Not at all safe,Complex,Medical,Trust,Untechnical,No Prevents,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_12S3UkEpVdKeirv,Would not,MedicalComplex,Somewhat safe,Completely safe,Complex,Medical,Hardware,Untechnical,Prevents,18-24,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_12X0hmXAAw3oa7T,Definitely would,MedicalComplex,Completely safe,Completely safe,Complex,Medical,Trust,Untechnical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_13m5UQ2ioHkXEx5,Definitely would,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Unsubstantial,Untechnical,Prevents,35-44,Male,High school or below,FALSE,TRUE,FALSE,TRUE,TRUE
R_13xuE5GNf2JJEil,Maybe would,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Trust,Technical,Prevents,45+,Male,High school or below,FALSE,TRUE,TRUE,TRUE,TRUE
R_14PdyKRKcyC9mUB,Maybe would,MedicalComplex,Completely safe,Somewhat safe,Complex,Medical,Trust,Technical,No Prevents,18-24,Female NB or SD,High school or below,TRUE,TRUE,TRUE,TRUE,FALSE
R_17Qo5EW5C0MsXl5,Definitely would,MedicalComplex,Completely safe,Completely safe,Complex,Medical,Hardware,Untechnical,Prevents,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_19n6U8YqJ8pPRPA,Would not,MedicalComplex,Not at all safe,Not at all safe,Complex,Medical,Hardware,Technical,Prevents,35-44,Male,High school or below,FALSE,TRUE,TRUE,TRUE,FALSE
R_19stRKpG4OVbm0N,Definitely would,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Unsubstantial,Technical,No Prevents,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE
R_1Bb46sXAIEaYJoc,Maybe would,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Unsubstantial,Technical,No Prevents,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE
R_1BbNsDoEUZByxhe,Maybe would,MedicalComplex,Completely safe,Completely safe,Complex,Medical,Hardware,Untechnical,Prevents,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_1EoAtAMTyDc5zsa,Maybe would,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Hardware,Untechnical,No Prevents,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_1F2Nhtk4EsTxMJ4,Definitely would,MedicalComplex,Somewhat safe,Completely safe,Complex,Medical,Trust,Technical,No Prevents,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE
R_1I0k5iXWugbyweq,Would not,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Unsubstantial,Technical,Prevents,45+,Female NB or SD,Bachelor or Graduate degree,TRUE,TRUE,FALSE,TRUE,FALSE
R_1J3mstVf0wYZFDj,Would not,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Unsubstantial,Technical,Prevents,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_1JFxAhldlomGkth,Would not,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Unsubstantial,Untechnical,No Prevents,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_1OOaXIkygipz0Md,Maybe would,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Hardware,Untechnical,Prevents,35-44,Male,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE
R_1P50q7uBjmmSwzu,Definitely would,MedicalComplex,Somewhat safe,Completely safe,Complex,Medical,Trust,Technical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_1PTQ50PlSQPyrJA,Would not,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Hardware,Untechnical,No Prevents,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_1VkCiDZ0lUEvkG4,Definitely would,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Unsubstantial,Technical,Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,FALSE,TRUE,FALSE
R_1W8pjJAMeJGeYiB,Maybe would,MedicalComplex,Completely safe,Completely safe,Complex,Medical,Trust,Technical,Prevents,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE
R_1XPhQ4UkSum4aGJ,Maybe would,MedicalComplex,Somewhat safe,Somewhat safe,Complex,Medical,Unsubstantial,Untechnical,No Prevents,18-24,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE
