ResponseId,willingness,scenario,safety_post,safety_pre,scenario_complexity,scenario_scenario,EXPLN_S1,EXPLN_S2,EXPLN_S3,age,gender,education,previous_medical_research,medical_job,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience
R_12mf4q3UyXdvtS1,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Technical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,TRUE,TRUE,TRUE,FALSE
R_13YlxdIhkGwKWZ3,Maybe would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Trust,Technical,No Prevents,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_147c3Fl0F0zDu0k,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Technical,Prevents,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_16wgPFeQY0NPQ53,Maybe would,MedicalSimple,Somewhat safe,Completely safe,Simple,Medical,Hardware,Technical,Prevents,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE
R_17A5ghNOMhiMzip,Maybe would,MedicalSimple,Somewhat safe,Completely safe,Simple,Medical,Trust,Technical,No Prevents,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_17TE5prio7BeEBS,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Technical,No Prevents,35-44,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_19OdQEScuXCpTc5,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Untechnical,Prevents,35-44,Female NB or SD,High school or below,FALSE,FALSE,FALSE,FALSE,FALSE
R_1D7pcdNbURwTRm0,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Untechnical,Prevents,35-44,Male,Bachelor or Graduate degree,TRUE,TRUE,TRUE,TRUE,TRUE
R_1D7uIGhTiygt1b4,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Technical,Prevents,35-44,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_1DOb9BeUecTxusQ,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Technical,Prevents,25-34,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_1ErHeTKg6R1uOE1,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Technical,Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_1F1Y8wGynsMRT2T,Maybe would,MedicalSimple,Not at all safe,Somewhat safe,Simple,Medical,Hardware,Technical,Prevents,25-34,Male,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE
R_1HB8hccLCE3oeje,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Technical,Prevents,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_1HXQuluInCw1M1E,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Technical,No Prevents,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE
R_1I5WkG7nY9cdHms,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_1IQIeqlM4dg9IA1,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Unsubstantial,Technical,Prevents,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_1LOIJ6ABi8BvE6l,Definitely would,MedicalSimple,Somewhat safe,Completely safe,Simple,Medical,Unsubstantial,Technical,No Prevents,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_1MrN1fBUIi3XY0e,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Hardware,Technical,Prevents,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE
R_1NJy3nVqhStmmzf,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,No Prevents,45+,Female NB or SD,High school or below,FALSE,FALSE,FALSE,FALSE,FALSE
R_1O75iTJCG81RaPn,Maybe would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Trust,Technical,Prevents,18-24,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_1O7GHLrKROKQk36,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Untechnical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_1QLeRXyfVn0fK9Q,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,No Prevents,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_1R7PBOYP0Jqvcbv,Maybe would,MedicalSimple,Completely safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,Prevents,25-34,Male,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,TRUE
R_1RaznavDCHne6h6,Definitely would,MedicalSimple,Completely safe,Completely safe,Simple,Medical,Trust,Untechnical,No Prevents,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE
R_1WD54s3RGRQbdWr,Definitely would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Technical,Prevents,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_1ZLcN7ttwuXRMch,Would not,MedicalSimple,Somewhat safe,Not at all safe,Simple,Medical,Trust,Untechnical,Prevents,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_1fOhOljcNufcPhc,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Technical,Prevents,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_1fVnEU62o25xh1g,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Technical,Prevents,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_1gArMDSFdy6w2U9,Definitely would,MedicalSimple,Completely safe,Not at all safe,Simple,Medical,Hardware,Technical,Prevents,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE
R_1izfMAswCCDZEnN,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Technical,No Prevents,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_1lbfpEfy4fjPKxb,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Hardware,Untechnical,Prevents,25-34,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_1n65J64IcWJ5Zd8,Maybe would,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Unsubstantial,Untechnical,Prevents,18-24,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE
R_1nXDkNVtayzy0vv,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Untechnical,Prevents,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE
R_1pRvZHvSerh9Y2t,Would not,MedicalSimple,Somewhat safe,Somewhat safe,Simple,Medical,Trust,Untechnical,Prevents,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE
