ResponseId,SCENARIO,COMPLEXITY,A,B,C,D,E,F,G,H,I,J,age,gender,education,previous_medical_research,medical_job,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience,EXPLN_S1,EXPLN_S2,EXPLN_S3,scenario
R_11FzXDrfq1ew6cZ,IoT,Complex,1,1,1,0,1,1,1,0,1,1,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Untechnical,No Prevents,IoTComplex
R_12S3UkEpVdKeirv,IoT,Complex,1,1,1,1,1,1,0,0,1,0,18-24,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Untechnical,Prevents,IoTComplex
R_13YlxdIhkGwKWZ3,IoT,Complex,1,1,1,1,1,1,0,0,1,0,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Trust,Technical,No Prevents,IoTComplex
R_14PdyKRKcyC9mUB,IoT,Complex,0,1,1,0,0,1,0,0,1,1,18-24,Female NB or SD,High school or below,TRUE,TRUE,TRUE,TRUE,FALSE,Trust,Technical,No Prevents,IoTComplex
R_17A5ghNOMhiMzip,IoT,Complex,1,1,1,1,1,1,1,0,1,1,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Technical,No Prevents,IoTComplex
R_17Qo5EW5C0MsXl5,IoT,Complex,1,1,1,1,1,1,0,0,1,0,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Untechnical,Prevents,IoTComplex
R_17TE5prio7BeEBS,IoT,Complex,1,1,0,1,1,0,0,0,1,0,35-44,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Technical,No Prevents,IoTComplex
R_1Bb46sXAIEaYJoc,IoT,Complex,1,1,1,1,1,1,1,0,0,1,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE,Unsubstantial,Technical,No Prevents,IoTComplex
R_1BbNsDoEUZByxhe,IoT,Complex,1,1,1,1,1,0,1,1,1,1,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware,Untechnical,Prevents,IoTComplex
R_1D7pcdNbURwTRm0,IoT,Complex,1,1,0,1,1,0,1,1,1,0,35-44,Male,Bachelor or Graduate degree,TRUE,TRUE,TRUE,TRUE,TRUE,Trust,Untechnical,Prevents,IoTComplex
R_1D7uIGhTiygt1b4,IoT,Complex,1,1,0,1,1,1,1,0,1,0,35-44,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Unsubstantial,Technical,Prevents,IoTComplex
R_1HXQuluInCw1M1E,IoT,Complex,1,0,1,1,1,1,1,1,1,1,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE,Hardware,Technical,No Prevents,IoTComplex
R_1I0k5iXWugbyweq,IoT,Complex,1,1,1,1,1,1,1,0,1,0,45+,Female NB or SD,Bachelor or Graduate degree,TRUE,TRUE,FALSE,TRUE,FALSE,Unsubstantial,Technical,Prevents,IoTComplex
