ResponseId,SCENARIO,COMPLEXITY,A,B,C,D,E,F,G,H,I,J,age,gender,education,previous_medical_research,medical_job,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience,EXPLN_S1,EXPLN_S2,EXPLN_S3,scenario
R_10AzzI3wJmfkFcd,IoT,Simple,1,1,1,1,1,1,0,0,1,0,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Untechnical,No Prevents,IoTSimple
R_10NZtNKNw0GOfUB,IoT,Simple,1,1,0,0,0,1,0,1,1,1,18-24,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE,Unsubstantial,Technical,No Prevents,IoTSimple
R_12X0hmXAAw3oa7T,IoT,Simple,1,1,1,1,0,0,0,0,1,0,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Untechnical,No Prevents,IoTSimple
R_12mf4q3UyXdvtS1,IoT,Simple,1,1,1,1,1,1,1,0,1,0,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,TRUE,TRUE,TRUE,FALSE,Unsubstantial,Technical,No Prevents,IoTSimple
R_13m5UQ2ioHkXEx5,IoT,Simple,1,1,1,1,1,1,0,1,1,0,35-44,Male,High school or below,FALSE,TRUE,FALSE,TRUE,TRUE,Unsubstantial,Untechnical,Prevents,IoTSimple
R_13xuE5GNf2JJEil,IoT,Simple,0,0,0,0,1,1,1,1,0,1,45+,Male,High school or below,FALSE,TRUE,TRUE,TRUE,TRUE,Trust,Technical,Prevents,IoTSimple
R_147c3Fl0F0zDu0k,IoT,Simple,1,1,1,1,1,1,1,0,1,1,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware,Technical,Prevents,IoTSimple
R_16wgPFeQY0NPQ53,IoT,Simple,1,1,1,1,0,0,0,1,1,0,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE,Hardware,Technical,Prevents,IoTSimple
R_19OdQEScuXCpTc5,IoT,Simple,1,1,1,1,1,1,1,1,1,1,35-44,Female NB or SD,High school or below,FALSE,FALSE,FALSE,FALSE,FALSE,Unsubstantial,Untechnical,Prevents,IoTSimple
R_19n6U8YqJ8pPRPA,IoT,Simple,1,1,1,1,1,0,1,0,0,0,35-44,Male,High school or below,FALSE,TRUE,TRUE,TRUE,FALSE,Hardware,Technical,Prevents,IoTSimple
R_19stRKpG4OVbm0N,IoT,Simple,1,0,1,1,1,0,1,0,0,0,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE,Unsubstantial,Technical,No Prevents,IoTSimple
