ResponseId,SCENARIO,COMPLEXITY,A,B,C,D,E,F,G,H,I,J,age,gender,education,previous_medical_research,medical_job,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience,EXPLN_S1,EXPLN_S2,EXPLN_S3,scenario
R_10AzzI3wJmfkFcd,Medical,Complex,1,1,0,0,1,1,0,1,0,0,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Untechnical,No Prevents,MedicalComplex
R_10NZtNKNw0GOfUB,Medical,Complex,1,1,0,0,1,1,1,1,0,1,18-24,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE,Unsubstantial,Technical,No Prevents,MedicalComplex
R_11FzXDrfq1ew6cZ,Medical,Complex,1,1,0,0,1,1,1,1,1,1,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Untechnical,No Prevents,MedicalComplex
R_12S3UkEpVdKeirv,Medical,Complex,1,1,1,1,1,1,1,1,1,0,18-24,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Untechnical,Prevents,MedicalComplex
R_12X0hmXAAw3oa7T,Medical,Complex,1,1,1,1,0,0,0,1,1,0,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Untechnical,No Prevents,MedicalComplex
R_13m5UQ2ioHkXEx5,Medical,Complex,1,1,1,1,1,1,1,1,1,0,35-44,Male,High school or below,FALSE,TRUE,FALSE,TRUE,TRUE,Unsubstantial,Untechnical,Prevents,MedicalComplex
R_13xuE5GNf2JJEil,Medical,Complex,1,0,0,1,1,1,1,1,0,1,45+,Male,High school or below,FALSE,TRUE,TRUE,TRUE,TRUE,Trust,Technical,Prevents,MedicalComplex
R_14PdyKRKcyC9mUB,Medical,Complex,1,1,0,0,0,1,0,1,1,0,18-24,Female NB or SD,High school or below,TRUE,TRUE,TRUE,TRUE,FALSE,Trust,Technical,No Prevents,MedicalComplex
R_17Qo5EW5C0MsXl5,Medical,Complex,1,1,1,1,1,1,0,1,1,0,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Untechnical,Prevents,MedicalComplex
R_19n6U8YqJ8pPRPA,Medical,Complex,1,0,1,1,1,1,1,0,0,0,35-44,Male,High school or below,FALSE,TRUE,TRUE,TRUE,FALSE,Hardware,Technical,Prevents,MedicalComplex
R_19stRKpG4OVbm0N,Medical,Complex,1,1,0,1,1,0,1,1,1,0,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE,Unsubstantial,Technical,No Prevents,MedicalComplex
R_1Bb46sXAIEaYJoc,Medical,Complex,1,1,1,1,1,1,1,1,0,1,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE,Unsubstantial,Technical,No Prevents,MedicalComplex
R_1BbNsDoEUZByxhe,Medical,Complex,1,1,0,1,1,1,1,1,1,1,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware,Untechnical,Prevents,MedicalComplex
R_1EoAtAMTyDc5zsa,Medical,Complex,1,1,0,0,1,1,1,1,1,1,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Untechnical,No Prevents,MedicalComplex
R_1F2Nhtk4EsTxMJ4,Medical,Complex,1,1,0,1,1,1,1,1,1,0,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE,Trust,Technical,No Prevents,MedicalComplex
R_1I0k5iXWugbyweq,Medical,Complex,1,1,1,1,1,1,0,0,1,0,45+,Female NB or SD,Bachelor or Graduate degree,TRUE,TRUE,FALSE,TRUE,FALSE,Unsubstantial,Technical,Prevents,MedicalComplex
R_1J3mstVf0wYZFDj,Medical,Complex,1,1,1,1,1,1,1,1,1,1,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Unsubstantial,Technical,Prevents,MedicalComplex
R_1JFxAhldlomGkth,Medical,Complex,1,1,0,1,1,1,1,0,0,1,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Unsubstantial,Untechnical,No Prevents,MedicalComplex
R_1OOaXIkygipz0Md,Medical,Complex,1,1,1,1,1,1,1,1,0,1,35-44,Male,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE,Hardware,Untechnical,Prevents,MedicalComplex
R_1P50q7uBjmmSwzu,Medical,Complex,1,1,0,0,1,1,1,1,1,1,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Technical,No Prevents,MedicalComplex
R_1PTQ50PlSQPyrJA,Medical,Complex,1,1,1,1,1,1,1,1,1,1,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Untechnical,No Prevents,MedicalComplex
R_1VkCiDZ0lUEvkG4,Medical,Complex,1,1,1,1,1,1,1,1,1,1,25-34,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,FALSE,TRUE,FALSE,Unsubstantial,Technical,Prevents,MedicalComplex
R_1W8pjJAMeJGeYiB,Medical,Complex,1,1,1,1,1,0,1,0,0,0,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE,Trust,Technical,Prevents,MedicalComplex
R_1XPhQ4UkSum4aGJ,Medical,Complex,1,1,1,1,1,1,1,1,1,1,18-24,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE,Unsubstantial,Untechnical,No Prevents,MedicalComplex
R_1YE2zezihUboKUX,Medical,Complex,1,1,1,1,0,1,0,1,1,0,45+,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Technical,No Prevents,MedicalComplex
