ResponseId,SCENARIO,COMPLEXITY,A,B,C,D,E,F,G,H,I,J,age,gender,education,previous_medical_research,medical_job,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience,EXPLN_S1,EXPLN_S2,EXPLN_S3,scenario
R_12mf4q3UyXdvtS1,Medical,Simple,1,1,1,1,1,1,1,1,1,1,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,TRUE,TRUE,TRUE,FALSE,Unsubstantial,Technical,No Prevents,MedicalSimple
R_13YlxdIhkGwKWZ3,Medical,Simple,1,1,1,1,1,1,0,0,1,0,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Trust,Technical,No Prevents,MedicalSimple
R_147c3Fl0F0zDu0k,Medical,Simple,1,1,1,1,1,1,1,0,1,0,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware,Technical,Prevents,MedicalSimple
R_16wgPFeQY0NPQ53,Medical,Simple,1,1,1,1,1,0,0,0,1,0,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE,Hardware,Technical,Prevents,MedicalSimple
R_17A5ghNOMhiMzip,Medical,Simple,1,1,1,1,1,1,1,1,1,1,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Technical,No Prevents,MedicalSimple
R_17TE5prio7BeEBS,Medical,Simple,1,0,0,0,1,1,0,0,0,1,35-44,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Technical,No Prevents,MedicalSimple
R_19OdQEScuXCpTc5,Medical,Simple,1,1,1,1,1,1,0,1,1,1,35-44,Female NB or SD,High school or below,FALSE,FALSE,FALSE,FALSE,FALSE,Unsubstantial,Untechnical,Prevents,MedicalSimple
R_1D7pcdNbURwTRm0,Medical,Simple,1,1,0,1,1,0,1,1,1,0,35-44,Male,Bachelor or Graduate degree,TRUE,TRUE,TRUE,TRUE,TRUE,Trust,Untechnical,Prevents,MedicalSimple
R_1D7uIGhTiygt1b4,Medical,Simple,1,1,1,1,1,1,0,0,1,0,35-44,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Unsubstantial,Technical,Prevents,MedicalSimple
R_1DOb9BeUecTxusQ,Medical,Simple,1,1,1,1,1,0,1,1,1,0,25-34,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Technical,Prevents,MedicalSimple
R_1ErHeTKg6R1uOE1,Medical,Simple,1,1,1,1,1,1,1,0,1,0,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Trust,Technical,Prevents,MedicalSimple
R_1F1Y8wGynsMRT2T,Medical,Simple,1,0,0,0,1,1,1,0,0,1,25-34,Male,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE,Hardware,Technical,Prevents,MedicalSimple
R_1HB8hccLCE3oeje,Medical,Simple,1,1,0,0,1,1,1,1,0,1,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Technical,Prevents,MedicalSimple
R_1HXQuluInCw1M1E,Medical,Simple,1,1,1,1,1,1,1,1,1,1,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE,Hardware,Technical,No Prevents,MedicalSimple
R_1I5WkG7nY9cdHms,Medical,Simple,1,0,0,0,1,1,1,1,0,1,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Unsubstantial,Technical,No Prevents,MedicalSimple
R_1IQIeqlM4dg9IA1,Medical,Simple,1,1,1,1,0,0,0,1,1,1,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Unsubstantial,Technical,Prevents,MedicalSimple
R_1LOIJ6ABi8BvE6l,Medical,Simple,1,1,1,1,1,0,1,1,1,0,35-44,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Unsubstantial,Technical,No Prevents,MedicalSimple
R_1MrN1fBUIi3XY0e,Medical,Simple,1,0,1,1,1,0,1,0,0,1,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE,Hardware,Technical,Prevents,MedicalSimple
R_1NJy3nVqhStmmzf,Medical,Simple,1,1,1,1,1,1,1,1,0,1,45+,Female NB or SD,High school or below,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware,Untechnical,No Prevents,MedicalSimple
R_1O75iTJCG81RaPn,Medical,Simple,1,0,0,0,1,1,0,0,1,0,18-24,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Technical,Prevents,MedicalSimple
R_1O7GHLrKROKQk36,Medical,Simple,1,1,1,1,1,1,1,1,1,0,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Unsubstantial,Untechnical,No Prevents,MedicalSimple
R_1QLeRXyfVn0fK9Q,Medical,Simple,1,1,1,1,1,1,0,0,1,1,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Unsubstantial,Technical,No Prevents,MedicalSimple
R_1R7PBOYP0Jqvcbv,Medical,Simple,1,1,1,1,1,1,1,1,1,0,25-34,Male,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,TRUE,Unsubstantial,Technical,Prevents,MedicalSimple
R_1RaznavDCHne6h6,Medical,Simple,1,1,1,1,0,0,0,0,1,0,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Trust,Untechnical,No Prevents,MedicalSimple
R_1WD54s3RGRQbdWr,Medical,Simple,1,1,0,1,0,1,0,0,1,0,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Technical,Prevents,MedicalSimple
R_1ZLcN7ttwuXRMch,Medical,Simple,1,1,0,1,1,1,0,0,1,1,25-34,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Untechnical,Prevents,MedicalSimple
R_1fOhOljcNufcPhc,Medical,Simple,1,1,1,1,1,1,0,0,1,0,45+,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Unsubstantial,Technical,Prevents,MedicalSimple
R_1fVnEU62o25xh1g,Medical,Simple,1,0,1,0,1,1,1,1,0,1,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Technical,Prevents,MedicalSimple
R_1gArMDSFdy6w2U9,Medical,Simple,1,1,1,1,0,0,0,0,1,0,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE,Hardware,Technical,Prevents,MedicalSimple
R_1izfMAswCCDZEnN,Medical,Simple,1,0,0,0,1,1,1,0,0,0,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Technical,No Prevents,MedicalSimple
R_1lbfpEfy4fjPKxb,Medical,Simple,1,1,1,1,0,1,1,1,1,0,25-34,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Untechnical,Prevents,MedicalSimple
R_1n65J64IcWJ5Zd8,Medical,Simple,1,1,1,1,1,1,1,0,1,0,18-24,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Unsubstantial,Untechnical,Prevents,MedicalSimple
R_1nXDkNVtayzy0vv,Medical,Simple,1,1,1,1,1,1,1,0,1,0,25-34,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Untechnical,Prevents,MedicalSimple
R_1pRvZHvSerh9Y2t,Medical,Simple,1,1,1,1,1,1,0,1,1,0,45+,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,TRUE,Trust,Untechnical,Prevents,MedicalSimple
R_1pVuesOKSApNqfK,Medical,Simple,1,1,1,1,1,1,1,0,1,1,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Untechnical,No Prevents,MedicalSimple
R_1rpOyyqcdDGYHCD,Medical,Simple,1,0,0,1,1,1,1,0,0,0,35-44,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Unsubstantial,Technical,No Prevents,MedicalSimple
R_1rusV32VeaLc8AV,Medical,Simple,1,1,1,1,1,1,1,1,1,1,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Unsubstantial,Technical,Prevents,MedicalSimple
R_1rwPFRLB5J0rmPA,Medical,Simple,1,1,1,1,1,0,1,0,1,0,18-24,Male,High school or below,FALSE,FALSE,FALSE,FALSE,FALSE,Unsubstantial,Technical,No Prevents,MedicalSimple
R_1zkbB7h90N8nrgT,Medical,Simple,1,1,1,1,1,1,1,0,1,1,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,TRUE,TRUE,TRUE,FALSE,Hardware,Untechnical,No Prevents,MedicalSimple
R_325VcST03ZYcbYs,Medical,Simple,1,1,1,1,1,0,0,0,1,0,18-24,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE,Hardware,Technical,Prevents,MedicalSimple
R_33rCy3tQBsZClIB,Medical,Simple,1,1,1,1,1,1,1,1,1,1,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Unsubstantial,Technical,Prevents,MedicalSimple
R_34MiGZ6AucyINvg,Medical,Simple,1,1,0,0,1,1,0,1,1,1,45+,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE,Hardware,Untechnical,No Prevents,MedicalSimple
R_38CLhDwdJI7Ihot,Medical,Simple,1,1,0,0,1,1,1,1,0,1,25-34,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Trust,Untechnical,No Prevents,MedicalSimple
R_39npzNz9VbFP70C,Medical,Simple,1,1,1,1,1,0,0,0,1,0,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware,Untechnical,No Prevents,MedicalSimple
R_39yCzuV37FV6nYt,Medical,Simple,1,1,1,1,1,1,1,1,0,0,18-24,Male,High school or below,FALSE,FALSE,FALSE,FALSE,TRUE,Hardware,Untechnical,No Prevents,MedicalSimple
R_3AKEKbjvLt1pYkR,Medical,Simple,1,1,0,0,1,1,1,1,1,1,45+,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE,Unsubstantial,Technical,No Prevents,MedicalSimple
R_3C1Zm4cBu5szfpL,Medical,Simple,1,1,1,1,1,1,1,1,1,1,35-44,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,FALSE,TRUE,FALSE,Hardware,Technical,Prevents,MedicalSimple
R_3ERvChpUf0y8gj7,Medical,Simple,1,1,0,1,0,1,0,0,1,0,45+,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE,Unsubstantial,Technical,No Prevents,MedicalSimple
R_3FLEYhHGnm4KqLG,Medical,Simple,1,1,1,1,0,0,0,0,1,0,25-34,Female NB or SD,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE,Hardware,Untechnical,No Prevents,MedicalSimple
R_3I3O423Dojt2D91,Medical,Simple,1,1,0,0,1,1,0,0,1,1,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Unsubstantial,Untechnical,No Prevents,MedicalSimple
R_3I5g06gKcSxuiSV,Medical,Simple,1,1,1,1,1,1,0,1,0,1,18-24,Female NB or SD,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Trust,Technical,Prevents,MedicalSimple
R_3I8jjimAbZ6vbAl,Medical,Simple,1,1,1,1,1,1,1,0,1,0,18-24,Female NB or SD,Bachelor or Graduate degree,TRUE,TRUE,TRUE,TRUE,FALSE,Unsubstantial,Untechnical,Prevents,MedicalSimple
R_3IAiSepYQCFYNp2,Medical,Simple,1,1,1,1,1,1,1,0,1,0,25-34,Female NB or SD,Bachelor or Graduate degree,TRUE,TRUE,TRUE,TRUE,FALSE,Hardware,Untechnical,No Prevents,MedicalSimple
R_3IGJ6LuNwcngfm1,Medical,Simple,1,1,0,0,1,1,1,0,1,1,35-44,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE,Hardware,Untechnical,Prevents,MedicalSimple
R_3KBJdKOQqVqaafw,Medical,Simple,1,1,1,1,1,1,1,1,1,1,25-34,Male,Bachelor or Graduate degree,TRUE,FALSE,TRUE,TRUE,FALSE,Trust,Untechnical,Prevents,MedicalSimple
R_3KDYxGFxUzPHePF,Medical,Simple,1,1,1,1,1,1,1,1,1,1,35-44,Male,Bachelor or Graduate degree,TRUE,FALSE,FALSE,TRUE,FALSE,Hardware,Untechnical,No Prevents,MedicalSimple
R_3KTIKy0avXC3lTz,Medical,Simple,1,1,1,1,0,1,0,1,1,0,45+,Male,High school or below,FALSE,FALSE,TRUE,FALSE,FALSE,Unsubstantial,Technical,No Prevents,MedicalSimple
R_3MT0zdYK4ZnSKCY,Medical,Simple,1,1,1,0,0,1,1,0,1,0,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,FALSE,FALSE,FALSE,Trust,Technical,No Prevents,MedicalSimple
R_3NfskA8Ovklri4C,Medical,Simple,1,1,0,1,1,1,1,1,1,1,45+,Male,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,TRUE,Hardware,Untechnical,No Prevents,MedicalSimple
R_3O0v8Vkaflqyw1k,Medical,Simple,1,1,0,1,1,1,0,0,1,1,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Untechnical,No Prevents,MedicalSimple
R_3Q0paE3kpBdqOD2,Medical,Simple,1,1,1,0,1,1,1,0,0,1,35-44,Female NB or SD,Bachelor or Graduate degree,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware,Untechnical,Prevents,MedicalSimple
