ResponseId,SCENARIO,COMPLEXITY,A,B,C,D,E,F,G,H,I,J,age,gender,education,previous_medical_research,medical_job,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience,EXPLN_S1,EXPLN_S2,EXPLN_S3,scenario
R_10AzzI3wJmfkFcd,IoT,Simple,1,1,1,1,1,1,0,0,1,0,25-34,Male,Bachelor or Graduate degree,False,False,True,False,False,Hardware,Untechnical,No Prevents,IoTSimple
R_10AzzI3wJmfkFcd,Medical,Complex,1,1,0,0,1,1,0,1,0,0,25-34,Male,Bachelor or Graduate degree,False,False,True,False,False,Hardware,Untechnical,No Prevents,MedicalComplex
R_10NZtNKNw0GOfUB,IoT,Simple,1,1,0,0,0,1,0,1,1,1,18-24,Male,Bachelor or Graduate degree,False,False,True,False,True,Unsubstantial,Technical,No Prevents,IoTSimple
R_10NZtNKNw0GOfUB,Medical,Complex,1,1,0,0,1,1,1,1,0,1,18-24,Male,Bachelor or Graduate degree,False,False,True,False,True,Unsubstantial,Technical,No Prevents,MedicalComplex
R_11FzXDrfq1ew6cZ,Medical,Complex,1,1,0,0,1,1,1,1,1,1,35-44,Male,High school or below,False,False,True,False,False,Trust,Untechnical,No Prevents,MedicalComplex
R_11FzXDrfq1ew6cZ,IoT,Complex,1,1,1,0,1,1,1,0,1,1,35-44,Male,High school or below,False,False,True,False,False,Trust,Untechnical,No Prevents,IoTComplex
R_12S3UkEpVdKeirv,Medical,Complex,1,1,1,1,1,1,1,1,1,0,18-24,Female NB or SD,Bachelor or Graduate degree,False,False,True,False,False,Hardware,Untechnical,Prevents,MedicalComplex
R_12S3UkEpVdKeirv,IoT,Complex,1,1,1,1,1,1,0,0,1,0,18-24,Female NB or SD,Bachelor or Graduate degree,False,False,True,False,False,Hardware,Untechnical,Prevents,IoTComplex
R_12X0hmXAAw3oa7T,IoT,Simple,1,1,1,1,0,0,0,0,1,0,25-34,Female NB or SD,Bachelor or Graduate degree,False,False,True,False,False,Trust,Untechnical,No Prevents,IoTSimple
R_12X0hmXAAw3oa7T,Medical,Complex,1,1,1,1,0,0,0,1,1,0,25-34,Female NB or SD,Bachelor or Graduate degree,False,False,True,False,False,Trust,Untechnical,No Prevents,MedicalComplex
R_12mf4q3UyXdvtS1,Medical,Simple,1,1,1,1,1,1,1,1,1,1,25-34,Female NB or SD,Bachelor or Graduate degree,False,True,True,True,False,Unsubstantial,Technical,No Prevents,MedicalSimple
R_12mf4q3UyXdvtS1,IoT,Simple,1,1,1,1,1,1,1,0,1,0,25-34,Female NB or SD,Bachelor or Graduate degree,False,True,True,True,False,Unsubstantial,Technical,No Prevents,IoTSimple
R_13YlxdIhkGwKWZ3,Medical,Simple,1,1,1,1,1,1,0,0,1,0,45+,Female NB or SD,Bachelor or Graduate degree,False,False,False,False,False,Trust,Technical,No Prevents,MedicalSimple
