id,Q1,scenario,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12_x,willingness,safety_overall_init,safety_tee,safety_companyHospital,safety_people,safety_data,safety_purpose,safety_overall_post,Q12_y,conf-init,response-id,conf-scenario-medical,comp-scenario-medical-1,comp-scenario-medical-2,faq-page-time,willingness-medical,willingness-medical-text,safety-medical-overall-init,safety-medical-tee,safety-medical-hospital,safety-medical-people,safety-medical-data,safety-medical-purpose,safety-medical-text,questions-medical,tee-concept-m1,tee-concept-m2,tee-concept-m3,tee-concept-m4,tee-concept-m5,tee-concept-m6,tee-concept-m7,tee-concept-m8,tee-concept-m9,tee-concept-m10,tee-concept-m11,tee-concept-m12,conf-tee-concept-medical,conf-tee-medical,safety-medical-overall-post,conf-scenario-iot,comp-scenario-iot-1,comp-scenario-iot-2,willingness-iot,willingness-iot-text,safety-iot-overall-init,safety-iot-tee,safety-iot-company,safety-iot-people,safety-iot-data,safety-iot-purpose,safety-iot-text,questions-iot,tee-concept-i1,tee-concept-i2,tee-concept-i3,tee-concept-i4,tee-concept-i5,tee-concept-i6,tee-concept-i7,tee-concept-i8,tee-concept-i9,tee-concept-i10,tee-concept-i11,tee-concept-i12,conf-tee-concept-iot,conf-tee-iot,safety-iot-overall-post,demo-tee,demo-tee-text,demo-cs-employ,demo-cs-employ-text,demo-cs-education,demo-cs-education-text,demo-medical,demo-medical-text,demo-medical-employ,demo-medical-employ-text,demo-iot,demo-iot-text,demo-tap,demo-tap-text,age,gender,gender-text,race,race-text,education,feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN,FAQ,faq1_count,faq2_count,faq3_count,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,previous_medical_research,medical_job,IoT_ownership,FAQ_rebinned,EXPLN_rebinned,IoT_automation,CS_Employment,CS_Education,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience,scenario_complexity,scenario_scenario
1,1,IoTComplex,1,1,1,1,1,1,0,1,1,1,1,Maybe would,Somewhat safe,Safe,Unsafe,Safe,Unsafe,Safe,Completely safe,1,Completely confident,R_5ZPLzodLXZylvq5,Completely confident,Develop an AI tool for diagnosing patients,,64.173,Definitely would,,Completely safe,Safe,Safe,Safe,Safe,Safe,I feel it would be safe,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Completely confident ,Completely confident ,Somewhat safe,Completely confident,Smart voice assistant,,Maybe would,,Somewhat safe,Safe,Unsafe,Safe,Unsafe,Safe,No,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,35-44,Female NB or SD,,White or Caucasian,,Bachelor or Graduate degree,,MedicalComplex,IoTComplex,1,Hardware,Show,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,IoT
3,1,IoTComplex,0,0,0,1,1,1,0,0,1,0,0,Maybe would,Completely safe,Safe,Safe,Safe,Safe,Safe,Completely safe,0,Not at all confident,R_1rjNObilLafcYwF,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Completely safe,Safe,Safe,Safe,Safe,Safe,I think my data would be safe using TEE,How do TEE help patients with a better healthcare system?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart voice assistant,,Maybe would,,Completely safe,Safe,Safe,Safe,Safe,Safe,I think the voice command is usually safe if the data is secure,How does TEE prevent hackers from accessing the datas?,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Completely confident ,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24,Male,,Asian,,High school or below,,MedicalSimple,IoTComplex,1,No explanation,No FAQ,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,IoT
5,1,IoTComplex,1,1,1,1,1,0,1,1,1,1,0,Would not,Somewhat safe,Safe,Unsafe,Unsafe,Unsafe,Unsafe,Somewhat safe,0,Not at all confident,R_5X46iFwnhZJFFxT,Completely confident,Determine where to build a new hospital,,,Would not,,Somewhat safe,Safe,Unsafe,Unsafe,Unsafe,Safe,,"Again, I still struggle to know what exactly TEEs are. I understand they provide some protection but I don't know how. ",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not,,Somewhat safe,Safe,Unsafe,Unsafe,Unsafe,Unsafe,,"I don't feel like enough of a description of what a TEE is was provided. I'm still left wondering exactly what it is. While it appears to be something to help with protecting data, I don't really know how it does so. ",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Not at all confident,Somewhat safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTComplex,0,No explanation,Hide,2,2,2,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Complex,IoT
6,1,IoTComplex,1,1,1,1,1,1,0,1,0,1,1,Maybe would,Somewhat safe,Safe,Unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,Completely safe,1,Not at all confident,R_7h6UkStu0zqws3n,Somewhat confident,Determine where to build a new hospital,,74.066,Definitely would,,Completely safe,Safe,Safe,Safe,Neither safe nor unsafe,Safe,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,Safe,Unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Not at all confident,Completely safe,No,,No,,No,,No,,Yes,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34,Female NB or SD,,White or Caucasian,,High school or below,No,MedicalSimple,IoTComplex,0,Trust,Show,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Complex,IoT
9,1,IoTComplex,1,0,1,1,1,1,0,0,1,0,0,Would not,Somewhat safe,Neither safe nor unsafe,Unsafe,Unsafe,Unsafe,Unsafe,Somewhat safe,0,Somewhat confident,R_27p7rYk8oVC8flL,Somewhat confident,Develop an AI tool for diagnosing patients,,,Would not,,Not at all safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,Neither safe nor unsafe,The transmission of personally identifiable information. No need to have name and address associated with the medical information.,no,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Somewhat confident,Not at all safe,Completely confident,Smart voice assistant,,Would not,,Somewhat safe,Neither safe nor unsafe,Unsafe,Unsafe,Unsafe,Unsafe,"The data is being collected, so inherently it is not safe.",I would want more information about the data security measure.,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"Yes, I have used home automation, but not currently",,45+,Female NB or SD,,White or Caucasian,,Bachelor or Graduate degree,,MedicalComplex,IoTComplex,0,Hardware,No FAQ,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,IoT
10,1,IoTComplex,1,1,1,0,0,0,0,1,0,1,1,Would not,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,Neither safe nor unsafe,Safe,Somewhat safe,1,Somewhat confident,R_3Tt1jQQlqgOihUt,Somewhat confident,Develop an AI tool for diagnosing patients,,60.909,Maybe would,,Somewhat safe,Neither safe nor unsafe,Unsafe,Safe,Safe,Neither safe nor unsafe,I feel any data can be vulnerable and exposed.,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Would not,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,Neither safe nor unsafe,Safe,I would be afraid the temptation would lead to my data being sold,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44,Male,,White or Caucasian,,High school or below,,MedicalComplex,IoTComplex,1,Hardware,Show,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,IoT
11,1,IoTComplex,1,0,0,1,1,1,1,0,1,0,0,Would not,Somewhat safe,Neither safe nor unsafe,Unsafe,Unsafe,Unsafe,Neither safe nor unsafe,Somewhat safe,0,Not at all confident,R_7S1BG5zlC88ISuB,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Completely safe,Neither safe nor unsafe,Safe,Safe,Safe,Safe,,"I have never heard of a TEE, though I'm assuming it's like an NDA for the researchers ",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Not at all confident,Completely safe,Somewhat confident,Smart voice assistant,,Would not,,Somewhat safe,Neither safe nor unsafe,Unsafe,Unsafe,Unsafe,Neither safe nor unsafe,,Same as before,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34,Female NB or SD,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTComplex,1,No explanation,No FAQ,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Complex,IoT
12,1,IoTComplex,1,0,1,0,1,1,0,1,0,1,0,Maybe would,Completely safe,Safe,Neither safe nor unsafe,Safe,Safe,Safe,Completely safe,0,Somewhat confident,R_1dFR37Oqw6UJyfF,Somewhat confident,Develop an AI tool for diagnosing patients,,,Would not,,Completely safe,Safe,Safe,Safe,Neither safe nor unsafe,Safe,no,na,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart voice assistant,,Maybe would,,Completely safe,Safe,Neither safe nor unsafe,Safe,Safe,Safe,they could be lying about who has access to the data,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I don’t own smart devices",,18-24,Female NB or SD,,Black or African American,,High school or below,no,MedicalComplex,IoTComplex,0,Trust,Hide,2,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,IoT
16,1,IoTComplex,0,0,0,1,1,1,1,0,1,1,0,Would not,Completely safe,Safe,Unsafe,Safe,Safe,Neither safe nor unsafe,Completely safe,0,Completely confident,R_3Cyrs6khrUSaxT1,Completely confident,Develop an AI tool for diagnosing patients,,,Would not,,Completely safe,Safe,Safe,Safe,Safe,Safe,It's also safe because it's not valuable or interesting.,I have no questions,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,Completely confident,Smart voice assistant,,Would not,,Completely safe,Safe,Unsafe,Safe,Safe,Neither safe nor unsafe,No,I have no questions,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalComplex,IoTComplex,1,Hardware,Hide,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,IoT
17,1,IoTComplex,0,0,0,0,1,1,1,1,1,1,1,Maybe would,Somewhat safe,Safe,Neither safe nor unsafe,Safe,Unsafe,Safe,Somewhat safe,1,Completely confident,R_82rRzA7KlidMFLQ,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Completely safe,Safe,Safe,Safe,Safe,Safe,"No, it seems pretty secure to ensure that my data is protected from potential malware.",I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,Safe,Neither safe nor unsafe,Safe,Unsafe,Safe,N/a,N/a,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24,Female NB or SD,,Black or African American,,Bachelor or Graduate degree,,MedicalComplex,IoTComplex,1,Trust,Hide,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,IoT
