id,Q1,scenario,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12_x,willingness,safety_overall_init,safety_tee,safety_companyHospital,safety_people,safety_data,safety_purpose,safety_overall_post,Q12_y,conf-init,response-id,conf-scenario-medical,comp-scenario-medical-1,comp-scenario-medical-2,faq-page-time,willingness-medical,willingness-medical-text,safety-medical-overall-init,safety-medical-tee,safety-medical-hospital,safety-medical-people,safety-medical-data,safety-medical-purpose,safety-medical-text,questions-medical,tee-concept-m1,tee-concept-m2,tee-concept-m3,tee-concept-m4,tee-concept-m5,tee-concept-m6,tee-concept-m7,tee-concept-m8,tee-concept-m9,tee-concept-m10,tee-concept-m11,tee-concept-m12,conf-tee-concept-medical,conf-tee-medical,safety-medical-overall-post,conf-scenario-iot,comp-scenario-iot-1,comp-scenario-iot-2,willingness-iot,willingness-iot-text,safety-iot-overall-init,safety-iot-tee,safety-iot-company,safety-iot-people,safety-iot-data,safety-iot-purpose,safety-iot-text,questions-iot,tee-concept-i1,tee-concept-i2,tee-concept-i3,tee-concept-i4,tee-concept-i5,tee-concept-i6,tee-concept-i7,tee-concept-i8,tee-concept-i9,tee-concept-i10,tee-concept-i11,tee-concept-i12,conf-tee-concept-iot,conf-tee-iot,safety-iot-overall-post,demo-tee,demo-tee-text,demo-cs-employ,demo-cs-employ-text,demo-cs-education,demo-cs-education-text,demo-medical,demo-medical-text,demo-medical-employ,demo-medical-employ-text,demo-iot,demo-iot-text,demo-tap,demo-tap-text,age,gender,gender-text,race,race-text,education,feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN,FAQ,faq1_count,faq2_count,faq3_count,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,previous_medical_research,medical_job,IoT_ownership,FAQ_rebinned,EXPLN_rebinned,IoT_automation,CS_Employment,CS_Education,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience,scenario_complexity,scenario_scenario
2,1,IoTSimple,1,0,0,0,1,0,0,0,1,1,0,Maybe would,Completely safe,Safe,Safe,Unsafe,Unsafe,Unsafe,Completely safe,0,Somewhat confident,R_1wELR6sZz0R9dTn,Completely confident,Determine where to build a new hospital,,62.006,Maybe would,,Completely safe,Unsafe,Unsafe,Unsafe,Unsafe,Unsafe,,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Completely confident ,Completely safe,Completely confident,Smart light bulb,,Maybe would,,Completely safe,Safe,Safe,Unsafe,Unsafe,Unsafe,,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Completely confident ,Completely safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,25-34,Female NB or SD,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTSimple,1,Unsubstantial,Show,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Simple,IoT
4,1,IoTSimple,1,1,1,1,0,1,0,1,0,0,1,Would not,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat safe,1,Somewhat confident,R_3KPZjECatePQBeL,Somewhat confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Hackers can get into any computer system and no data is 100% safe. ,Have they ever been hacked into?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,No,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,No,,Yes,,No,,"No, I don’t own smart devices",,35-44,Prefer not to say,,Prefer not to say,,Prefer not to say,,MedicalComplex,IoTSimple,1,Unsubstantial,No FAQ,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Simple,IoT
7,1,IoTSimple,0,0,0,1,1,1,0,0,1,1,0,Would not,Not at all safe,Unsafe,Unsafe,Unsafe,Unsafe,Unsafe,Not at all safe,0,Not at all confident,R_2kAGRRUq5C4h6vr,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Somewhat safe,Unsafe,Unsafe,Unsafe,Unsafe,Unsafe,IT IS UNSAFE BECAUSE OF THE ACCESS OTHERS HAVE IN IT,HOW CAN MY DATA BE PROTECTED FROM THE FUTURE HACKERS ,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Somewhat safe,Not at all confident,Smart light bulb,,Would not,,Not at all safe,Unsafe,Unsafe,Unsafe,Unsafe,Unsafe,IT IS UNSAFE BECAUSE OF THE LEVEL OF SECURITY OR PROTECTION FROM HACKERS,WHY SHOULD I GET EXTRA PROTECTION IF THE INITIAL ONE IS NOT FULLY SAFE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Completely confident ,Not at all confident,Not at all safe,No,,No,,No,,"Yes, as a participant",,Yes,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,35-44,Female NB or SD,,Black or African American,,Bachelor or Graduate degree,I REALLY ENJOYED THIS SURVEY AND TEEs SHOULD IMPROVE IT'S SECURITY AND PROTECTION OVER DATA,MedicalComplex,IoTSimple,0,Trust,No FAQ,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Simple,IoT
8,1,IoTSimple,0,0,0,1,0,1,0,1,0,1,0,Would not,Completely safe,Safe,Safe,Safe,Safe,Safe,Completely safe,0,Completely confident,R_51sIuZRXgONAhu3,Completely confident,Determine where to build a new hospital,,61.783,Definitely would,,Completely safe,Safe,Safe,Safe,Safe,Safe,As long as they are required not to sell my info. ,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart light bulb,,Would not,,Completely safe,Safe,Safe,Safe,Safe,Safe,"I feel fine about it, but I also don't want it. ",,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,25-34,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTSimple,1,No explanation,Show,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Simple,IoT
13,1,IoTSimple,1,0,0,1,1,1,0,1,1,0,0,Maybe would,Somewhat safe,Safe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,Safe,Somewhat safe,0,Somewhat confident,R_2I9N1oe9ysFM79r,Completely confident,Develop an AI tool for diagnosing patients,,,Definitely would,,Completely safe,Neither safe nor unsafe,Safe,Safe,Safe,Safe,I'd like to know who exactly at the hospital will be using the data,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Maybe would,,Somewhat safe,Safe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,Safe,I don't exactly know who the people are that are using the data.,Will they sell my data?,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalComplex,IoTSimple,0,Unsubstantial,No FAQ,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Simple,IoT
14,1,IoTSimple,1,0,0,1,1,0,1,1,0,0,0,Would not,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Not at all safe,0,Not at all confident,R_7K14tTx8MUrtHeK,Somewhat confident,Determine where to build a new hospital,,,Would not,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Data is never safe if stored where it can be accessed over the cloud. An air gapped computer is the only way I would feel safe.,No additional questions at this time.,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Any type of data can be compromised is stored online. Agreements are only as good as the security behind how the data is stored and accessed.,No additional questions. There is no trust in my beliefs once you turn over information to a company. Just look how some of the credit information companies had a breach and data was acccesed by people not part of the company.,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Not at all confident,Somewhat confident,Not at all safe,No,,Yes,,Yes,,No,,No,,No,,"No, I don’t own smart devices",,45+,Male,,White or Caucasian,,Bachelor or Graduate degree,A TEE can only protect from what is know. You can not protect from an unknown bad actor.,MedicalSimple,IoTSimple,0,Unsubstantial,Hide,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Simple,IoT
15,1,IoTSimple,1,0,0,1,1,1,0,1,1,1,0,Would not,Completely safe,Safe,Unsafe,Unsafe,Safe,Safe,Completely safe,0,Completely confident,R_5lYpcAwd0xT1O4P,Completely confident,Determine where to build a new hospital,,,Definitely would,,Completely safe,Safe,Unsafe,Safe,Safe,Safe,Safe,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart light bulb,,Would not,,Completely safe,Safe,Unsafe,Unsafe,Safe,Safe,limited scope of collection,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,No,,Yes,,Yes,,"Yes, as a participant",,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,45+,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTSimple,1,Trust,No FAQ,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Simple,IoT
18,1,IoTSimple,1,1,1,1,1,1,1,1,1,1,1,Would not,Somewhat safe,Safe,Unsafe,Neither safe nor unsafe,Unsafe,Neither safe nor unsafe,Somewhat safe,1,Somewhat confident,R_7zQFP2cTNKcFoUp,Completely confident,Determine where to build a new hospital,,,Would not,,Somewhat safe,Neither safe nor unsafe,Safe,Neither safe nor unsafe,Unsafe,Safe,There is always a chance of a data breach as we have constantly seen. ,none,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart light bulb,,Would not,,Somewhat safe,Safe,Unsafe,Neither safe nor unsafe,Unsafe,Neither safe nor unsafe,Company can use the data for whatever they want only for their own benefit. ,none,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,"Yes, as a researcher",,"No, but I have been in the past",,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34,Female NB or SD,,Asian,,Bachelor or Graduate degree,,MedicalSimple,IoTSimple,1,No explanation,Hide,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Simple,IoT
22,1,IoTSimple,1,1,0,1,1,1,1,1,1,1,1,Would not,Completely safe,Safe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,Neither safe nor unsafe,Somewhat safe,1,Not at all confident,R_7I5LPcvKubRlmod,Somewhat confident,Develop an AI tool for diagnosing patients,,92.32,Maybe would,,Completely safe,Safe,Unsafe,Unsafe,Unsafe,Neither safe nor unsafe,Just that it goes through a few different hands.,"I can't think of any more questions. Maybe, would be nice to see more real world examples.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Not at all confident,Completely safe,Somewhat confident,Smart light bulb,,Would not,,Completely safe,Safe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,Neither safe nor unsafe,Well the data could give away times that I am asleep or not at home.,I don't have any questions.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,Yes,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,35-44,Male,,White or Caucasian,,High school or below,,MedicalComplex,IoTSimple,1,No explanation,Show,2,2,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Simple,IoT
24,1,IoTSimple,1,1,1,1,0,1,0,1,0,1,1,Definitely would,Completely safe,Safe,Safe,Safe,Safe,Safe,Completely safe,1,Completely confident,R_2ASjEbHhoocHDcT,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Completely safe,Safe,Safe,Safe,Safe,Safe,I feel pretty safe because of tee.,None :),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Completely confident,Smart light bulb,,Definitely would,,Completely safe,Safe,Safe,Safe,Safe,Safe,It makes me feel very safe,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Completely confident ,Completely safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24,Female NB or SD,,White or Caucasian,,High school or below,"Nothing but I really enjoyed the survey. I hope I was able to answer everything good for you guys and I hope I get to work with you again in the future, thank you! ",MedicalSimple,IoTSimple,0,Hardware,Hide,3,2,3,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Simple,IoT
