id,Q1,scenario,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12_x,willingness,safety_overall_init,safety_tee,safety_companyHospital,safety_people,safety_data,safety_purpose,safety_overall_post,Q12_y,conf-init,response-id,conf-scenario-medical,comp-scenario-medical-1,comp-scenario-medical-2,faq-page-time,willingness-medical,willingness-medical-text,safety-medical-overall-init,safety-medical-tee,safety-medical-hospital,safety-medical-people,safety-medical-data,safety-medical-purpose,safety-medical-text,questions-medical,tee-concept-m1,tee-concept-m2,tee-concept-m3,tee-concept-m4,tee-concept-m5,tee-concept-m6,tee-concept-m7,tee-concept-m8,tee-concept-m9,tee-concept-m10,tee-concept-m11,tee-concept-m12,conf-tee-concept-medical,conf-tee-medical,safety-medical-overall-post,conf-scenario-iot,comp-scenario-iot-1,comp-scenario-iot-2,willingness-iot,willingness-iot-text,safety-iot-overall-init,safety-iot-tee,safety-iot-company,safety-iot-people,safety-iot-data,safety-iot-purpose,safety-iot-text,questions-iot,tee-concept-i1,tee-concept-i2,tee-concept-i3,tee-concept-i4,tee-concept-i5,tee-concept-i6,tee-concept-i7,tee-concept-i8,tee-concept-i9,tee-concept-i10,tee-concept-i11,tee-concept-i12,conf-tee-concept-iot,conf-tee-iot,safety-iot-overall-post,demo-tee,demo-tee-text,demo-cs-employ,demo-cs-employ-text,demo-cs-education,demo-cs-education-text,demo-medical,demo-medical-text,demo-medical-employ,demo-medical-employ-text,demo-iot,demo-iot-text,demo-tap,demo-tap-text,age,gender,gender-text,race,race-text,education,feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN,FAQ,faq1_count,faq2_count,faq3_count,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,previous_medical_research,medical_job,IoT_ownership,FAQ_rebinned,EXPLN_rebinned,IoT_automation,CS_Employment,CS_Education,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience,scenario_complexity,scenario_scenario
1,1,MedicalComplex,1,1,1,1,1,1,1,1,1,1,1,Definitely would,Completely safe,Safe,Safe,Safe,Safe,Safe,Somewhat safe,1,Completely confident,R_5ZPLzodLXZylvq5,Completely confident,Develop an AI tool for diagnosing patients,,64.173,Definitely would,,Completely safe,Safe,Safe,Safe,Safe,Safe,I feel it would be safe,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Completely confident ,Completely confident ,Somewhat safe,Completely confident,Smart voice assistant,,Maybe would,,Somewhat safe,Safe,Unsafe,Safe,Unsafe,Safe,No,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,35-44,Female NB or SD,,White or Caucasian,,Bachelor or Graduate degree,,MedicalComplex,IoTComplex,1,Hardware,Show,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,Medical
4,1,MedicalComplex,1,1,1,1,1,1,0,1,0,0,0,Maybe would,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat safe,0,Somewhat confident,R_3KPZjECatePQBeL,Somewhat confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Hackers can get into any computer system and no data is 100% safe. ,Have they ever been hacked into?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,No,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,No,,Yes,,No,,"No, I don’t own smart devices",,35-44,Prefer not to say,,Prefer not to say,,Prefer not to say,,MedicalComplex,IoTSimple,1,Unsubstantial,No FAQ,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Complex,Medical
7,1,MedicalComplex,0,0,0,1,1,1,0,0,1,1,0,Maybe would,Somewhat safe,Unsafe,Unsafe,Unsafe,Unsafe,Unsafe,Somewhat safe,0,Not at all confident,R_2kAGRRUq5C4h6vr,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Somewhat safe,Unsafe,Unsafe,Unsafe,Unsafe,Unsafe,IT IS UNSAFE BECAUSE OF THE ACCESS OTHERS HAVE IN IT,HOW CAN MY DATA BE PROTECTED FROM THE FUTURE HACKERS ,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Somewhat safe,Not at all confident,Smart light bulb,,Would not,,Not at all safe,Unsafe,Unsafe,Unsafe,Unsafe,Unsafe,IT IS UNSAFE BECAUSE OF THE LEVEL OF SECURITY OR PROTECTION FROM HACKERS,WHY SHOULD I GET EXTRA PROTECTION IF THE INITIAL ONE IS NOT FULLY SAFE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Completely confident ,Not at all confident,Not at all safe,No,,No,,No,,"Yes, as a participant",,Yes,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,35-44,Female NB or SD,,Black or African American,,Bachelor or Graduate degree,I REALLY ENJOYED THIS SURVEY AND TEEs SHOULD IMPROVE IT'S SECURITY AND PROTECTION OVER DATA,MedicalComplex,IoTSimple,0,Trust,No FAQ,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Complex,Medical
9,1,MedicalComplex,0,0,1,1,1,1,1,0,1,0,0,Would not,Not at all safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,Neither safe nor unsafe,Not at all safe,0,Somewhat confident,R_27p7rYk8oVC8flL,Somewhat confident,Develop an AI tool for diagnosing patients,,,Would not,,Not at all safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,Neither safe nor unsafe,The transmission of personally identifiable information. No need to have name and address associated with the medical information.,no,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Somewhat confident,Not at all safe,Completely confident,Smart voice assistant,,Would not,,Somewhat safe,Neither safe nor unsafe,Unsafe,Unsafe,Unsafe,Unsafe,"The data is being collected, so inherently it is not safe.",I would want more information about the data security measure.,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"Yes, I have used home automation, but not currently",,45+,Female NB or SD,,White or Caucasian,,Bachelor or Graduate degree,,MedicalComplex,IoTComplex,0,Hardware,No FAQ,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,Medical
10,1,MedicalComplex,1,1,1,0,1,0,1,1,0,1,1,Maybe would,Somewhat safe,Neither safe nor unsafe,Unsafe,Safe,Safe,Neither safe nor unsafe,Somewhat safe,1,Somewhat confident,R_3Tt1jQQlqgOihUt,Somewhat confident,Develop an AI tool for diagnosing patients,,60.909,Maybe would,,Somewhat safe,Neither safe nor unsafe,Unsafe,Safe,Safe,Neither safe nor unsafe,I feel any data can be vulnerable and exposed.,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Would not,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,Neither safe nor unsafe,Safe,I would be afraid the temptation would lead to my data being sold,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44,Male,,White or Caucasian,,High school or below,,MedicalComplex,IoTComplex,1,Hardware,Show,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,Medical
12,1,MedicalComplex,1,0,1,1,0,0,0,1,0,1,0,Would not,Completely safe,Safe,Safe,Safe,Neither safe nor unsafe,Safe,Completely safe,0,Somewhat confident,R_1dFR37Oqw6UJyfF,Somewhat confident,Develop an AI tool for diagnosing patients,,,Would not,,Completely safe,Safe,Safe,Safe,Neither safe nor unsafe,Safe,no,na,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart voice assistant,,Maybe would,,Completely safe,Safe,Neither safe nor unsafe,Safe,Safe,Safe,they could be lying about who has access to the data,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I don’t own smart devices",,18-24,Female NB or SD,,Black or African American,,High school or below,no,MedicalComplex,IoTComplex,0,Trust,Hide,2,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,Medical
13,1,MedicalComplex,0,0,0,1,1,1,1,0,1,0,0,Definitely would,Completely safe,Neither safe nor unsafe,Safe,Safe,Safe,Safe,Somewhat safe,0,Somewhat confident,R_2I9N1oe9ysFM79r,Completely confident,Develop an AI tool for diagnosing patients,,,Definitely would,,Completely safe,Neither safe nor unsafe,Safe,Safe,Safe,Safe,I'd like to know who exactly at the hospital will be using the data,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Maybe would,,Somewhat safe,Safe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,Safe,I don't exactly know who the people are that are using the data.,Will they sell my data?,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalComplex,IoTSimple,0,Unsubstantial,No FAQ,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,Medical
16,1,MedicalComplex,1,0,0,1,1,1,1,1,1,1,0,Would not,Completely safe,Safe,Safe,Safe,Safe,Safe,Completely safe,0,Completely confident,R_3Cyrs6khrUSaxT1,Completely confident,Develop an AI tool for diagnosing patients,,,Would not,,Completely safe,Safe,Safe,Safe,Safe,Safe,It's also safe because it's not valuable or interesting.,I have no questions,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,Completely confident,Smart voice assistant,,Would not,,Completely safe,Safe,Unsafe,Safe,Safe,Neither safe nor unsafe,No,I have no questions,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalComplex,IoTComplex,1,Hardware,Hide,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,Medical
17,1,MedicalComplex,1,1,1,1,1,1,1,1,1,1,1,Maybe would,Completely safe,Safe,Safe,Safe,Safe,Safe,Completely safe,1,Completely confident,R_82rRzA7KlidMFLQ,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Completely safe,Safe,Safe,Safe,Safe,Safe,"No, it seems pretty secure to ensure that my data is protected from potential malware.",I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,Safe,Neither safe nor unsafe,Safe,Unsafe,Safe,N/a,N/a,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24,Female NB or SD,,Black or African American,,Bachelor or Graduate degree,,MedicalComplex,IoTComplex,1,Trust,Hide,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,Medical
21,1,MedicalComplex,1,1,1,1,1,1,1,1,0,1,1,Definitely would,Completely safe,Safe,Safe,Safe,Safe,Safe,Completely safe,1,Completely confident,R_78Yi7xDUEtXOIKJ,Completely confident,Develop an AI tool for diagnosing patients,,66.781,Definitely would,,Completely safe,Safe,Safe,Safe,Safe,Safe,no additional comment.,none.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart voice assistant,,Maybe would,,Completely safe,Safe,Safe,Safe,Safe,Safe,"Generally I feel much safer if a TEE is in place, vs a situation where there is none.",questions primarily focus on the data they are collecting and how long it is maintained before being purged/deleted.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,45+,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalComplex,IoTComplex,0,Trust,Show,4,4,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Complex,Medical
