id,Q1,scenario,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12_x,willingness,safety_overall_init,safety_tee,safety_companyHospital,safety_people,safety_data,safety_purpose,safety_overall_post,Q12_y,conf-init,response-id,conf-scenario-medical,comp-scenario-medical-1,comp-scenario-medical-2,faq-page-time,willingness-medical,willingness-medical-text,safety-medical-overall-init,safety-medical-tee,safety-medical-hospital,safety-medical-people,safety-medical-data,safety-medical-purpose,safety-medical-text,questions-medical,tee-concept-m1,tee-concept-m2,tee-concept-m3,tee-concept-m4,tee-concept-m5,tee-concept-m6,tee-concept-m7,tee-concept-m8,tee-concept-m9,tee-concept-m10,tee-concept-m11,tee-concept-m12,conf-tee-concept-medical,conf-tee-medical,safety-medical-overall-post,conf-scenario-iot,comp-scenario-iot-1,comp-scenario-iot-2,willingness-iot,willingness-iot-text,safety-iot-overall-init,safety-iot-tee,safety-iot-company,safety-iot-people,safety-iot-data,safety-iot-purpose,safety-iot-text,questions-iot,tee-concept-i1,tee-concept-i2,tee-concept-i3,tee-concept-i4,tee-concept-i5,tee-concept-i6,tee-concept-i7,tee-concept-i8,tee-concept-i9,tee-concept-i10,tee-concept-i11,tee-concept-i12,conf-tee-concept-iot,conf-tee-iot,safety-iot-overall-post,demo-tee,demo-tee-text,demo-cs-employ,demo-cs-employ-text,demo-cs-education,demo-cs-education-text,demo-medical,demo-medical-text,demo-medical-employ,demo-medical-employ-text,demo-iot,demo-iot-text,demo-tap,demo-tap-text,age,gender,gender-text,race,race-text,education,feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN,FAQ,faq1_count,faq2_count,faq3_count,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,previous_medical_research,medical_job,IoT_ownership,FAQ_rebinned,EXPLN_rebinned,IoT_automation,CS_Employment,CS_Education,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience,scenario_complexity,scenario_scenario
2,0,MedicalSimple,1,0,0,0,1,0,0,1,0,1,0,Maybe would,Completely safe,Unsafe,Unsafe,Unsafe,Unsafe,Unsafe,Completely safe,0,Somewhat confident,R_1wELR6sZz0R9dTn,Completely confident,Determine where to build a new hospital,,62.006,Maybe would,,Completely safe,Unsafe,Unsafe,Unsafe,Unsafe,Unsafe,,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Completely confident ,Completely safe,Completely confident,Smart light bulb,,Maybe would,,Completely safe,Safe,Safe,Unsafe,Unsafe,Unsafe,,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Completely confident ,Completely safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,25-34,Female NB or SD,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTSimple,1,Unsubstantial,Show,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Simple,Medical
3,0,MedicalSimple,0,0,0,1,1,1,0,0,1,0,1,Maybe would,Completely safe,Safe,Safe,Safe,Safe,Safe,Completely safe,1,Not at all confident,R_1rjNObilLafcYwF,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Completely safe,Safe,Safe,Safe,Safe,Safe,I think my data would be safe using TEE,How do TEE help patients with a better healthcare system?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart voice assistant,,Maybe would,,Completely safe,Safe,Safe,Safe,Safe,Safe,I think the voice command is usually safe if the data is secure,How does TEE prevent hackers from accessing the datas?,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Completely confident ,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24,Male,,Asian,,High school or below,,MedicalSimple,IoTComplex,1,No explanation,No FAQ,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Simple,Medical
5,1,MedicalSimple,1,1,0,1,1,0,1,1,1,1,0,Would not,Somewhat safe,Safe,Unsafe,Unsafe,Unsafe,Safe,Somewhat safe,0,Not at all confident,R_5X46iFwnhZJFFxT,Completely confident,Determine where to build a new hospital,,,Would not,,Somewhat safe,Safe,Unsafe,Unsafe,Unsafe,Safe,,"Again, I still struggle to know what exactly TEEs are. I understand they provide some protection but I don't know how. ",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not,,Somewhat safe,Safe,Unsafe,Unsafe,Unsafe,Unsafe,,"I don't feel like enough of a description of what a TEE is was provided. I'm still left wondering exactly what it is. While it appears to be something to help with protecting data, I don't really know how it does so. ",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Not at all confident,Somewhat safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTComplex,0,No explanation,Hide,2,2,2,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Simple,Medical
6,1,MedicalSimple,1,1,1,1,1,1,1,1,0,1,1,Definitely would,Completely safe,Safe,Safe,Safe,Neither safe nor unsafe,Safe,Completely safe,1,Not at all confident,R_7h6UkStu0zqws3n,Somewhat confident,Determine where to build a new hospital,,74.066,Definitely would,,Completely safe,Safe,Safe,Safe,Neither safe nor unsafe,Safe,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,Safe,Unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Unsafe,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Not at all confident,Completely safe,No,,No,,No,,No,,Yes,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34,Female NB or SD,,White or Caucasian,,High school or below,No,MedicalSimple,IoTComplex,0,Trust,Show,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Simple,Medical
8,1,MedicalSimple,1,0,1,1,0,1,0,0,0,1,1,Definitely would,Completely safe,Safe,Safe,Safe,Safe,Safe,Completely safe,1,Completely confident,R_51sIuZRXgONAhu3,Completely confident,Determine where to build a new hospital,,61.783,Definitely would,,Completely safe,Safe,Safe,Safe,Safe,Safe,As long as they are required not to sell my info. ,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart light bulb,,Would not,,Completely safe,Safe,Safe,Safe,Safe,Safe,"I feel fine about it, but I also don't want it. ",,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,25-34,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTSimple,1,No explanation,Show,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Simple,Medical
11,1,MedicalSimple,1,0,0,1,1,1,1,0,1,0,0,Maybe would,Completely safe,Neither safe nor unsafe,Safe,Safe,Safe,Safe,Completely safe,0,Not at all confident,R_7S1BG5zlC88ISuB,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Completely safe,Neither safe nor unsafe,Safe,Safe,Safe,Safe,,"I have never heard of a TEE, though I'm assuming it's like an NDA for the researchers ",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Not at all confident,Completely safe,Somewhat confident,Smart voice assistant,,Would not,,Somewhat safe,Neither safe nor unsafe,Unsafe,Unsafe,Unsafe,Neither safe nor unsafe,,Same as before,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34,Female NB or SD,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTComplex,1,No explanation,No FAQ,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Simple,Medical
14,1,MedicalSimple,1,0,1,1,1,0,0,1,1,0,0,Would not,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat safe,0,Not at all confident,R_7K14tTx8MUrtHeK,Somewhat confident,Determine where to build a new hospital,,,Would not,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Data is never safe if stored where it can be accessed over the cloud. An air gapped computer is the only way I would feel safe.,No additional questions at this time.,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Any type of data can be compromised is stored online. Agreements are only as good as the security behind how the data is stored and accessed.,No additional questions. There is no trust in my beliefs once you turn over information to a company. Just look how some of the credit information companies had a breach and data was acccesed by people not part of the company.,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Not at all confident,Somewhat confident,Not at all safe,No,,Yes,,Yes,,No,,No,,No,,"No, I don’t own smart devices",,45+,Male,,White or Caucasian,,Bachelor or Graduate degree,A TEE can only protect from what is know. You can not protect from an unknown bad actor.,MedicalSimple,IoTSimple,0,Unsubstantial,Hide,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Simple,Medical
15,1,MedicalSimple,0,0,1,1,1,1,0,0,1,0,0,Definitely would,Completely safe,Safe,Unsafe,Safe,Safe,Safe,Completely safe,0,Completely confident,R_5lYpcAwd0xT1O4P,Completely confident,Determine where to build a new hospital,,,Definitely would,,Completely safe,Safe,Unsafe,Safe,Safe,Safe,Safe,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart light bulb,,Would not,,Completely safe,Safe,Unsafe,Unsafe,Safe,Safe,limited scope of collection,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,No,,Yes,,Yes,,"Yes, as a participant",,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,45+,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTSimple,1,Trust,No FAQ,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Simple,Medical
18,1,MedicalSimple,1,1,1,1,1,1,1,1,1,1,1,Would not,Somewhat safe,Neither safe nor unsafe,Safe,Neither safe nor unsafe,Unsafe,Safe,Somewhat safe,1,Somewhat confident,R_7zQFP2cTNKcFoUp,Completely confident,Determine where to build a new hospital,,,Would not,,Somewhat safe,Neither safe nor unsafe,Safe,Neither safe nor unsafe,Unsafe,Safe,There is always a chance of a data breach as we have constantly seen. ,none,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart light bulb,,Would not,,Somewhat safe,Safe,Unsafe,Neither safe nor unsafe,Unsafe,Neither safe nor unsafe,Company can use the data for whatever they want only for their own benefit. ,none,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,"Yes, as a researcher",,"No, but I have been in the past",,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34,Female NB or SD,,Asian,,Bachelor or Graduate degree,,MedicalSimple,IoTSimple,1,No explanation,Hide,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Simple,Medical
19,1,MedicalSimple,0,0,0,1,1,0,0,1,0,1,1,Maybe would,Completely safe,Unsafe,Neither safe nor unsafe,Unsafe,Unsafe,Unsafe,Completely safe,1,Somewhat confident,R_1CrXZ60eJo1RWX2,Completely confident,Determine where to build a new hospital,,,Maybe would,,Completely safe,Unsafe,Neither safe nor unsafe,Unsafe,Unsafe,Unsafe, I have to share my name and address and this makes me feel like my data would be unsafe.,I have no questions.,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Somewhat confident,Smart voice assistant,,Maybe would,,Completely safe,Safe,Unsafe,Neither safe nor unsafe,Unsafe,Unsafe,"The data collected by the AI includes anything I enter into the app, collecting personal information like my name and address which makes me feel like my data would be unsafe since the AI will be keeping my personal information. ",I have no other questions about TEEs.,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24,Female NB or SD,,Asian,,High school or below,,MedicalSimple,IoTComplex,0,Unsubstantial,Hide,2,2,2,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Simple,Medical
