id,Q1,scenario,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12_x,willingness,safety_overall_init,safety_tee,safety_companyHospital,safety_people,safety_data,safety_purpose,safety_overall_post,Q12_y,conf-init,response-id,conf-scenario-medical,comp-scenario-medical-1,comp-scenario-medical-2,faq-page-time,willingness-medical,willingness-medical-text,safety-medical-overall-init,safety-medical-tee,safety-medical-hospital,safety-medical-people,safety-medical-data,safety-medical-purpose,safety-medical-text,questions-medical,tee-concept-m1,tee-concept-m2,tee-concept-m3,tee-concept-m4,tee-concept-m5,tee-concept-m6,tee-concept-m7,tee-concept-m8,tee-concept-m9,tee-concept-m10,tee-concept-m11,tee-concept-m12,conf-tee-concept-medical,conf-tee-medical,safety-medical-overall-post,conf-scenario-iot,comp-scenario-iot-1,comp-scenario-iot-2,willingness-iot,willingness-iot-text,safety-iot-overall-init,safety-iot-tee,safety-iot-company,safety-iot-people,safety-iot-data,safety-iot-purpose,safety-iot-text,questions-iot,tee-concept-i1,tee-concept-i2,tee-concept-i3,tee-concept-i4,tee-concept-i5,tee-concept-i6,tee-concept-i7,tee-concept-i8,tee-concept-i9,tee-concept-i10,tee-concept-i11,tee-concept-i12,conf-tee-concept-iot,conf-tee-iot,safety-iot-overall-post,demo-tee,demo-tee-text,demo-cs-employ,demo-cs-employ-text,demo-cs-education,demo-cs-education-text,demo-medical,demo-medical-text,demo-medical-employ,demo-medical-employ-text,demo-iot,demo-iot-text,demo-tap,demo-tap-text,age,gender,gender-text,race,race-text,education,feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN,FAQ,faq1_count,faq2_count,faq3_count,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,previous_medical_research,medical_job,IoT_ownership,FAQ_rebinned,EXPLN_rebinned,IoT_automation,CS_Employment,CS_Education,combined_IoT_Experience,combined_Medical_Experience,combined_CS_Experience,scenario_complexity,scenario_scenario
1,1,IoTComplex,1,1,1,1,1,1,0,1,1,1,1,Maybe would,Somewhat safe,Definitely safe,Somewhat unsafe,Somewhat safe,Somewhat unsafe,Somewhat safe,Completely safe,1,Completely confident,R_5ZPLzodLXZylvq5,Completely confident,Develop an AI tool for diagnosing patients,,64.173,Definitely would,,Completely safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,Definitely safe,I feel it would be safe,,False,False,False,False,True,True,True,False,False,True,True,False,Completely confident ,Completely confident ,Somewhat safe,Completely confident,Smart voice assistant,,Maybe would,,Somewhat safe,Definitely safe,Somewhat unsafe,Somewhat safe,Somewhat unsafe,Somewhat safe,No,,False,False,False,False,True,True,True,True,False,True,True,False,Somewhat confident,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,35-44,Female NB or SD,,White or Caucasian,,Bachelor or Graduate degree,,MedicalComplex,IoTComplex,1,Hardware,Show,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,False,False,True,True,True,True,False,False,True,False,False,Complex,IoT
1,1,MedicalComplex,1,1,1,1,1,1,1,1,1,1,1,Definitely would,Completely safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,Definitely safe,Somewhat safe,1,Completely confident,R_5ZPLzodLXZylvq5,Completely confident,Develop an AI tool for diagnosing patients,,64.173,Definitely would,,Completely safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,Definitely safe,I feel it would be safe,,False,False,False,False,True,True,True,False,False,True,True,False,Completely confident ,Completely confident ,Somewhat safe,Completely confident,Smart voice assistant,,Maybe would,,Somewhat safe,Definitely safe,Somewhat unsafe,Somewhat safe,Somewhat unsafe,Somewhat safe,No,,False,False,False,False,True,True,True,True,False,True,True,False,Somewhat confident,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,35-44,Female NB or SD,,White or Caucasian,,Bachelor or Graduate degree,,MedicalComplex,IoTComplex,1,Hardware,Show,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,False,False,True,True,True,True,False,False,True,False,False,Complex,Medical
2,1,IoTSimple,1,0,0,0,1,0,0,0,1,1,0,Maybe would,Completely safe,Somewhat safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Completely safe,0,Somewhat confident,R_1wELR6sZz0R9dTn,Completely confident,Determine where to build a new hospital,,62.006,Maybe would,,Completely safe,Somewhat unsafe,Definitely unsafe,Somewhat unsafe,Somewhat unsafe,Definitely unsafe,,,True,False,True,True,False,True,False,True,False,False,True,True,Somewhat confident,Completely confident ,Completely safe,Completely confident,Smart light bulb,,Maybe would,,Completely safe,Somewhat safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,,,False,False,True,True,False,True,False,True,True,True,True,True,Somewhat confident,Completely confident ,Completely safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,25-34,Female NB or SD,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTSimple,1,Unsubstantial,Show,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,True,False,True,True,True,True,False,False,True,True,False,Simple,IoT
2,0,MedicalSimple,1,0,0,0,1,0,0,1,0,1,0,Maybe would,Completely safe,Somewhat unsafe,Definitely unsafe,Somewhat unsafe,Somewhat unsafe,Definitely unsafe,Completely safe,0,Somewhat confident,R_1wELR6sZz0R9dTn,Completely confident,Determine where to build a new hospital,,62.006,Maybe would,,Completely safe,Somewhat unsafe,Definitely unsafe,Somewhat unsafe,Somewhat unsafe,Definitely unsafe,,,True,False,True,True,False,True,False,True,False,False,True,True,Somewhat confident,Completely confident ,Completely safe,Completely confident,Smart light bulb,,Maybe would,,Completely safe,Somewhat safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,,,False,False,True,True,False,True,False,True,True,True,True,True,Somewhat confident,Completely confident ,Completely safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,25-34,Female NB or SD,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTSimple,1,Unsubstantial,Show,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,True,False,True,True,True,True,False,False,True,True,False,Simple,Medical
3,1,IoTComplex,0,0,0,1,1,1,0,0,1,0,0,Maybe would,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Somewhat safe,Completely safe,0,Not at all confident,R_1rjNObilLafcYwF,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Completely safe,Somewhat safe,Definitely safe,Definitely safe,Somewhat safe,Somewhat safe,I think my data would be safe using TEE,How do TEE help patients with a better healthcare system?,True,True,True,True,True,True,True,True,True,True,False,False,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart voice assistant,,Maybe would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Somewhat safe,I think the voice command is usually safe if the data is secure,How does TEE prevent hackers from accessing the datas?,False,True,True,True,True,True,True,True,True,True,False,True,Completely confident ,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24,Male,,Asian,,High school or below,,MedicalSimple,IoTComplex,1,No explanation,No FAQ,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,Complex,IoT
3,0,MedicalSimple,0,0,0,1,1,1,0,0,1,0,1,Maybe would,Completely safe,Somewhat safe,Definitely safe,Definitely safe,Somewhat safe,Somewhat safe,Completely safe,1,Not at all confident,R_1rjNObilLafcYwF,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Completely safe,Somewhat safe,Definitely safe,Definitely safe,Somewhat safe,Somewhat safe,I think my data would be safe using TEE,How do TEE help patients with a better healthcare system?,True,True,True,True,True,True,True,True,True,True,False,False,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart voice assistant,,Maybe would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Somewhat safe,I think the voice command is usually safe if the data is secure,How does TEE prevent hackers from accessing the datas?,False,True,True,True,True,True,True,True,True,True,False,True,Completely confident ,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24,Male,,Asian,,High school or below,,MedicalSimple,IoTComplex,1,No explanation,No FAQ,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,Simple,Medical
4,1,IoTSimple,1,1,1,1,0,1,0,1,0,0,1,Would not,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat safe,1,Somewhat confident,R_3KPZjECatePQBeL,Somewhat confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Hackers can get into any computer system and no data is 100% safe. ,Have they ever been hacked into?,False,False,False,False,True,True,True,True,False,False,False,True,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,No,,False,False,False,False,True,False,True,True,False,False,False,False,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,No,,Yes,,No,,"No, I don’t own smart devices",,35-44,Prefer not to say,,Prefer not to say,,Prefer not to say,,MedicalComplex,IoTSimple,1,Unsubstantial,No FAQ,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,False,True,False,False,True,False,False,False,False,True,False,Simple,IoT
4,1,MedicalComplex,1,1,1,1,1,1,0,1,0,0,0,Maybe would,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat safe,0,Somewhat confident,R_3KPZjECatePQBeL,Somewhat confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Hackers can get into any computer system and no data is 100% safe. ,Have they ever been hacked into?,False,False,False,False,True,True,True,True,False,False,False,True,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,No,,False,False,False,False,True,False,True,True,False,False,False,False,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,No,,Yes,,No,,"No, I don’t own smart devices",,35-44,Prefer not to say,,Prefer not to say,,Prefer not to say,,MedicalComplex,IoTSimple,1,Unsubstantial,No FAQ,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,False,True,False,False,True,False,False,False,False,True,False,Complex,Medical
5,1,IoTComplex,1,1,1,1,1,0,1,1,1,1,0,Would not,Somewhat safe,Somewhat safe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Somewhat unsafe,Somewhat safe,0,Not at all confident,R_5X46iFwnhZJFFxT,Completely confident,Determine where to build a new hospital,,,Would not,,Somewhat safe,Somewhat safe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Somewhat safe,,"Again, I still struggle to know what exactly TEEs are. I understand they provide some protection but I don't know how. ",False,False,False,True,True,True,False,False,False,True,True,True,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not,,Somewhat safe,Somewhat safe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Somewhat unsafe,,"I don't feel like enough of a description of what a TEE is was provided. I'm still left wondering exactly what it is. While it appears to be something to help with protecting data, I don't really know how it does so. ",False,False,False,False,True,True,False,False,False,True,True,True,Somewhat confident,Not at all confident,Somewhat safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTComplex,0,No explanation,Hide,2,2,2,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,True,False,True,True,False,False,False,False,True,True,False,Complex,IoT
5,1,MedicalSimple,1,1,0,1,1,0,1,1,1,1,0,Would not,Somewhat safe,Somewhat safe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Somewhat safe,Somewhat safe,0,Not at all confident,R_5X46iFwnhZJFFxT,Completely confident,Determine where to build a new hospital,,,Would not,,Somewhat safe,Somewhat safe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Somewhat safe,,"Again, I still struggle to know what exactly TEEs are. I understand they provide some protection but I don't know how. ",False,False,False,True,True,True,False,False,False,True,True,True,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not,,Somewhat safe,Somewhat safe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Somewhat unsafe,,"I don't feel like enough of a description of what a TEE is was provided. I'm still left wondering exactly what it is. While it appears to be something to help with protecting data, I don't really know how it does so. ",False,False,False,False,True,True,False,False,False,True,True,True,Somewhat confident,Not at all confident,Somewhat safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34,Male,,White or Caucasian,,Bachelor or Graduate degree,,MedicalSimple,IoTComplex,0,No explanation,Hide,2,2,2,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,True,False,True,True,False,False,False,False,True,True,False,Simple,Medical
