id,How confident are you that you understand what protections a TEE offers? (initial),ResponseId,How confident are you that you understand the scenario? (medical),What is the goal of the medical study? (attempt 1),What is the goal of the medical study? (attempt 2),How likely would you be willing to participate in the medical study?,How likely would you be willing to participate in the medical study? (free-response),"How safe do you think data would be when it is protected by a TEE? (medical, initial)","What questions do you still have about TEEs, if any? (medical)",How much would knowing the answers to these questions change your willingness to participate in the medical study?,"TEE concept (medical, 1)","TEE concept (medical, 2)","TEE concept (medical, 3)","TEE concept (medical, 4)","TEE concept (medical, 5)","TEE concept (medical, 6)","TEE concept (medical, 7)","TEE concept (medical, 8)","TEE concept (medical, 9)","TEE concept (medical, 10)",How confident are you about your answers to the questions on this page? (medical),"How confident are you that you understand what protections a TEE offers? (medical, post-concepts)","How safe do you think data would be when it is protected by a TEE? (medical, post-TEE concepts)",How confident are you that you understand the scenario? (IoT),What kind of device are you shopping for? (attempt 1),What kind of device are you shopping for? (attempt 2),How likely would you be to purchase the voice assistant/light bulb?,How likely would you be to purchase the voice assistant/light bulb? (free-response),"How safe do you think data would be when it is protected by a TEE? (IoT, initial)","What questions do you still have about TEEs, if any? (IoT)",How much would knowing the answers to these questions change your willingness to purchase the voice assistant/light bulb?,"TEE concept (IoT, 1)","TEE concept (IoT, 2)","TEE concept (IoT, 3)","TEE concept (IoT, 4)","TEE concept (IoT, 5)","TEE concept (IoT, 6)","TEE concept (IoT, 7)","TEE concept (IoT, 8)","TEE concept (IoT, 9)","TEE concept (IoT, 10)",How confident are you about your answers to the questions on this page? (IoT),"How confident are you that you understand what protections a TEE offers? (IoT, post-concepts)","How safe do you think data would be when it is protected by a TEE? (IoT, post-TEE concepts)","Before this survey, were you familiar with the concept of TEEs?","Before this survey, were you familiar with the concept of TEEs? (free resposne)",Are you employed in a computing field?,Are you employed in a computing field? (free response),Do you have formal education in a computing field?,Do you have formal education in a computing field? (free response),Do you have prior experience with medical research?,Do you have prior experience with medical research? (free response),Do you work in a medical field?,Do you work in a medical field? (free response),Do you own any smart devices?,Do you own any smart devices? (free response),Do you have experience with home automation?,Do you have experience with home automation? (free response),Age,Gender,Gender (free response),Race,Race (free response),Education,Feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN_S1,EXPLN_S2,EXPLN_S3,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
1,Somewhat confident,R_1rwPFRLB5J0rmPA,Somewhat confident,Determine where to build a new hospital,,Maybe would,,Somewhat safe,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Would not,,Not at all safe,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,18-24 years old,Male,,White or Caucasian,,High school diploma or GED,,Medical-Simple,IoT-Complex,0,Unsubstantial,Technical,No Prevents,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0
2,Somewhat confident,R_3pQQ5m4r0hug6KP,Somewhat confident,Develop an AI tool for diagnosing patients,,Maybe would,,Somewhat safe,Same,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Maybe would,,Somewhat safe,None,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,Yes; as a participant,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,18-24 years old,Female,,White or Caucasian,,"Some college, but no degree",,Medical-Complex,IoT-Simple,0,Unsubstantial,Technical,No Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,Somewhat confident,R_3jCmsR4kFpEL3Eh,Completely confident,Develop an AI tool for diagnosing patients,,Definitely would,,Completely safe,NA,Probably would not change,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Completely confident,Smart light bulb,,Maybe would,,Completely safe,same,Probably would not change,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Simple,1,Hardware,Untechnical,Prevents,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1
4,Completely confident,R_5UhXbvilpndYwT1,Completely confident,Determine where to build a new hospital,,Maybe would,,Completely safe,I would like further information on what makes this isolated program environment fully protected from malicious files and viruses and how it can't be compromised.,Definitely would change,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Completely confident,Completely safe,Completely confident,Smart voice assistant,,Would not,,Completely safe,same,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Completely confident,Completely confident,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Male,,White or Caucasian,,High school diploma or GED,,Medical-Simple,IoT-Complex,1,Trust,Untechnical,Prevents,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
5,Completely confident,R_14PdyKRKcyC9mUB,Completely confident,Develop an AI tool for diagnosing patients,,Maybe would,,Somewhat safe,NA,Probably would change,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Completely confident,Completely safe,Not at all confident,Smart security camera,Smart voice assistant,Definitely would,,Not at all safe,NA,Probably would change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Completely confident,Somewhat confident,Not at all safe,Yes,,No,,No,,Yes; as a researcher,,Yes,,"Yes, and I use the smart features",,"No, I don’t own smart devices",,18-24 years old,Female,,Black or African American,,"Some college, but no degree",,Medical-Complex,IoT-Complex,1,Trust,Technical,No Prevents,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1
6,Completely confident,R_1a804pEEXfyBVIt,Completely confident,Develop an AI tool for diagnosing patients,,Definitely would,,Completely safe,None,Definitely would change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Completely confident,Completely confident,Somewhat safe,Completely confident,Smart light bulb,,Definitely would,,Completely safe,None,Definitely would change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Completely confident,Completely confident,Completely safe,No,,Yes,,Yes,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,45-54 years old,Male,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Complex,IoT-Simple,0,Hardware,Untechnical,No Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
7,Completely confident,R_7nKtfeDh7UB4LhT,Completely confident,Determine where to build a new hospital,,Maybe would,,Completely safe,same,Definitely would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Completely confident,Completely confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not,,Completely safe,None,Definitely would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Completely confident,Somewhat safe,No,,"No, but I have been in the past",,Yes,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Male,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Great survey!,Medical-Simple,IoT-Complex,0,Unsubstantial,Untechnical,Prevents,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
8,Completely confident,R_1fVnEU62o25xh1g,Somewhat confident,Determine where to build a new hospital,,Maybe would,,Somewhat safe,How long has it been tested. Has there been any breaches?,Definitely would change,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Completely confident,Somewhat confident,Somewhat safe,Not at all confident,Smart light bulb,,Maybe would,,Somewhat safe,Same,Definitely would change,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Male,,White or Caucasian,,High school diploma or GED,,Medical-Simple,IoT-Simple,1,Trust,Technical,Prevents,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1
9,Completely confident,R_6pMihip2gvWByZE,Completely confident,Develop an AI tool for diagnosing patients,,Definitely would,,Completely safe,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not,,Somewhat safe,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,Yes; as a participant,,Yes,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,25-34 years old,Male,,Asian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Complex,IoT-Complex,1,Trust,Technical,Prevents,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1
10,Completely confident,R_524ilx5UnMSYEcc,Completely confident,Determine where to build a new hospital,,Maybe would,,Completely safe,How do I guarantee that my data will be safe?,Probably would change,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Completely confident,Completely confident,Somewhat safe,Completely confident,Smart light bulb,,Maybe would,,Somewhat safe,What kind of information would they collect?,Probably would change,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Somewhat confident,Completely confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,White or Caucasian,,Bachelor’s degree,none,Medical-Simple,IoT-Simple,1,Hardware,Technical,No Prevents,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1
11,Completely confident,R_6JWOWOpqU55zneh,Completely confident,Determine where to build a new hospital,,Definitely would,,Completely safe,Same,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Completely confident,Completely confident,Completely safe,Completely confident,Smart voice assistant,,Definitely would,,Completely safe,It seems very safe. No questions,I have no questions,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Completely confident,Completely confident,Completely safe,No,,"No, but I have been in the past",,Yes,,No,,"No, but I have been in the past",,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,55-64 years old,Female,,Black or African American,,Associates or technical degree,"Safety is very important. But, there are hackers out there.",Medical-Simple,IoT-Complex,0,Hardware,Untechnical,Prevents,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0
