id,gender,age,education,previous_medical_research,medical_job,IoT_ownership,IoT_automation
1,Male,18-24,High school or equivalent,False,False,False,False
2,Female,18-24,High school or equivalent,True,False,True,True
3,Female,25-34,Bachelor or associate degree,False,False,True,False
4,Male,25-34,High school or equivalent,False,False,True,False
5,Female,18-24,High school or equivalent,True,True,True,False
6,Male,45-54,Graduate degree,False,False,True,True
7,Male,25-34,Graduate degree,False,False,True,False
8,Male,25-34,High school or equivalent,False,False,True,False
9,Male,25-34,Graduate degree,True,True,True,True
10,Female,25-34,Bachelor or associate degree,False,False,True,False
11,Female,55+,Bachelor or associate degree,False,True,True,False
12,Male,35-44,Bachelor or associate degree,False,False,False,False
13,Male,18-24,High school or equivalent,False,False,True,True
14,Female,35-44,High school or equivalent,False,False,True,False
15,Male,25-34,Bachelor or associate degree,False,False,True,False
16,Non-binary / third gender,45-54,High school or equivalent,False,False,True,False
17,Female,18-24,Bachelor or associate degree,False,False,True,True
18,Non-binary / third gender,18-24,High school or equivalent,False,False,True,False
19,Male,55+,Graduate degree,False,False,True,True
20,Male,55+,High school or equivalent,False,False,True,False
21,Female,45-54,Bachelor or associate degree,False,False,False,False
22,Male,25-34,High school or equivalent,False,False,True,False
23,Female,55+,Graduate degree,False,False,True,False
24,Female,45-54,High school or equivalent,False,False,True,False
25,Male,45-54,High school or equivalent,False,False,False,False
26,Male,18-24,High school or equivalent,False,False,True,False
27,Female,35-44,Bachelor or associate degree,True,False,True,False
28,Male,25-34,High school or equivalent,False,False,True,False
29,Female,45-54,Graduate degree,False,False,True,True
30,Female,25-34,Bachelor or associate degree,False,False,True,False
31,Male,18-24,High school or equivalent,False,False,True,True
32,Female,18-24,Bachelor or associate degree,True,True,True,False
33,Male,35-44,Graduate degree,False,False,True,True
34,Female,35-44,High school or equivalent,False,False,False,False
35,Female,18-24,Bachelor or associate degree,False,True,True,False
36,Female,25-34,Bachelor or associate degree,False,False,False,False
37,Male,25-34,Bachelor or associate degree,False,False,True,False
38,Male,45-54,Bachelor or associate degree,False,False,True,True
39,Female,35-44,Bachelor or associate degree,False,False,False,False
40,Male,18-24,High school or equivalent,False,False,False,False
41,Female,25-34,Bachelor or associate degree,False,True,True,False
42,Male,18-24,Bachelor or associate degree,False,False,False,True
43,Female,18-24,Bachelor or associate degree,False,False,True,False
44,Male,25-34,Graduate degree,False,True,True,True
45,Female,25-34,Bachelor or associate degree,True,True,True,False
46,Female,45-54,High school or equivalent,False,False,False,False
47,Female,25-34,Bachelor or associate degree,True,False,True,True
48,Male,35-44,Bachelor or associate degree,False,False,True,True
49,Female,25-34,Have not completed high school,False,False,True,True
50,Female,35-44,High school or equivalent,False,False,True,False
51,Male,35-44,High school or equivalent,True,False,True,False
52,Male,25-34,Bachelor or associate degree,True,False,True,False
53,Male,18-24,High school or equivalent,False,False,False,False
54,Male,18-24,High school or equivalent,False,False,False,False
55,Male,25-34,Bachelor or associate degree,False,False,True,False
56,Male,35-44,Bachelor or associate degree,False,False,True,False
57,Female,25-34,Graduate degree,False,False,True,False
58,Female,35-44,High school or equivalent,False,True,True,False
59,Male,45-54,High school or equivalent,False,False,True,True
60,Female,25-34,Bachelor or associate degree,False,False,True,True
61,Male,25-34,Graduate degree,False,False,True,True
62,Male,25-34,Graduate degree,False,False,True,True
63,Female,35-44,Graduate degree,True,True,True,True
64,Male,55+,Have not completed high school,False,False,True,True
65,Female,25-34,High school or equivalent,False,False,True,False
66,Female,18-24,Bachelor or associate degree,False,True,True,False
67,Female,55+,High school or equivalent,False,False,True,True
68,Female,35-44,Bachelor or associate degree,False,False,True,False
69,Male,45-54,Graduate degree,False,False,True,True
70,Male,25-34,High school or equivalent,False,False,True,False
71,Female,35-44,Have not completed high school,False,False,False,False
72,Male,25-34,Bachelor or associate degree,False,False,True,False
73,Female,18-24,Bachelor or associate degree,True,False,True,False
74,Male,25-34,High school or equivalent,False,False,True,True
75,Female,18-24,Bachelor or associate degree,True,False,True,False
76,Male,25-34,Bachelor or associate degree,True,True,True,True
77,Female,25-34,Bachelor or associate degree,False,False,True,True
78,Female,25-34,Graduate degree,False,False,True,False
79,Male,35-44,Graduate degree,False,True,True,False
80,Female,18-24,Bachelor or associate degree,False,False,True,True
81,Male,18-24,High school or equivalent,False,False,True,True
82,Female,25-34,Bachelor or associate degree,False,False,True,False
83,Male,25-34,Bachelor or associate degree,False,False,True,True
84,Male,25-34,Bachelor or associate degree,True,True,True,True
85,Male,55+,Bachelor or associate degree,False,False,False,False
86,Female,18-24,Bachelor or associate degree,False,True,True,False
87,Female,55+,Bachelor or associate degree,False,False,True,True
88,Female,18-24,Bachelor or associate degree,False,False,True,False
89,Female,35-44,High school or equivalent,False,False,True,False
90,Female,25-34,Bachelor or associate degree,False,False,False,False
91,Female,18-24,Bachelor or associate degree,True,False,True,True
92,Female,35-44,Graduate degree,False,False,True,True
93,Male,35-44,High school or equivalent,False,False,True,False
94,Female,18-24,High school or equivalent,False,False,True,False
95,Female,55+,Graduate degree,False,False,True,False
96,Male,25-34,Bachelor or associate degree,False,False,True,True
97,Female,25-34,Graduate degree,False,False,True,False
98,Male,55+,High school or equivalent,False,False,True,False
99,Male,25-34,Graduate degree,True,False,True,True
100,Male,25-34,High school or equivalent,False,False,True,True
101,Female,25-34,Bachelor or associate degree,True,True,True,False
102,Female,35-44,High school or equivalent,False,False,True,False
103,Female,35-44,High school or equivalent,False,False,True,False
104,Female,25-34,Graduate degree,True,False,False,False
105,Male,18-24,Bachelor or associate degree,True,True,True,False
106,Female,18-24,High school or equivalent,False,False,True,False
107,Male,25-34,High school or equivalent,True,False,True,False
108,Male,18-24,High school or equivalent,False,False,False,False
109,Female,25-34,High school or equivalent,False,False,True,True
110,Male,35-44,Graduate degree,False,False,True,True
111,Male,55+,Bachelor or associate degree,False,True,False,False
112,Male,45-54,Bachelor or associate degree,False,False,True,True
113,Female,55+,Graduate degree,False,True,True,False
114,Female,45-54,High school or equivalent,False,False,True,False
115,Male,45-54,Bachelor or associate degree,False,False,True,False
116,Male,45-54,Graduate degree,False,False,True,False
117,Female,35-44,Bachelor or associate degree,False,False,True,False
118,Male,25-34,Bachelor or associate degree,False,False,True,False
119,Female,25-34,Bachelor or associate degree,False,True,True,True
120,Male,35-44,Graduate degree,False,False,False,False
121,Female,35-44,High school or equivalent,False,False,True,False
122,Non-binary / third gender,25-34,High school or equivalent,True,False,False,False
123,Male,35-44,Graduate degree,False,False,True,True
124,Female,45-54,Bachelor or associate degree,False,False,False,False
125,Male,35-44,Bachelor or associate degree,False,False,True,False
126,Female,25-34,Graduate degree,False,False,True,False
127,Female,35-44,Bachelor or associate degree,False,False,True,False
128,Female,25-34,Bachelor or associate degree,True,True,True,True
129,Male,18-24,High school or equivalent,False,False,True,False
130,Female,25-34,Bachelor or associate degree,False,False,True,False
131,Female,35-44,Bachelor or associate degree,False,False,True,True
