id,fst_scenario,snd_scenario
1,6.0,7.0
2,9.0,10.0
3,7.0,6.0
4,7.0,9.0
5,5.0,5.0
6,8.0,10.0
7,9.0,9.0
8,7.0,6.0
9,9.0,5.0
10,7.0,7.0
11,6.0,7.0
12,7.0,6.0
13,8.0,10.0
14,8.0,9.0
15,5.0,6.0
16,7.0,7.0
17,9.0,9.0
18,9.0,7.0
19,6.0,6.0
20,10.0,10.0
21,8.0,9.0
22,7.0,8.0
23,6.0,3.0
24,7.0,8.0
25,10.0,10.0
26,6.0,8.0
27,9.0,9.0
28,9.0,8.0
29,7.0,8.0
30,10.0,10.0
31,10.0,7.0
32,6.0,8.0
33,8.0,8.0
34,10.0,9.0
35,8.0,8.0
36,9.0,8.0
37,6.0,6.0
38,8.0,10.0
39,9.0,10.0
40,4.0,5.0
41,9.0,8.0
42,5.0,6.0
43,7.0,9.0
44,9.0,10.0
45,10.0,10.0
46,10.0,10.0
47,9.0,8.0
48,8.0,8.0
49,8.0,9.0
50,7.0,7.0
51,9.0,4.0
52,8.0,10.0
53,7.0,8.0
54,6.0,6.0
55,9.0,9.0
56,5.0,6.0
57,10.0,9.0
58,9.0,9.0
59,9.0,8.0
60,5.0,6.0
61,5.0,6.0
62,7.0,7.0
63,7.0,6.0
64,6.0,6.0
65,5.0,8.0
66,8.0,9.0
67,7.0,9.0
68,7.0,6.0
69,6.0,6.0
70,7.0,6.0
71,10.0,10.0
72,10.0,10.0
73,10.0,10.0
74,9.0,10.0
75,9.0,9.0
76,6.0,8.0
77,3.0,5.0
78,10.0,9.0
79,6.0,6.0
80,9.0,9.0
81,10.0,10.0
82,7.0,8.0
83,5.0,7.0
84,9.0,10.0
85,7.0,6.0
86,8.0,8.0
87,10.0,10.0
88,8.0,7.0
89,10.0,10.0
90,8.0,7.0
91,4.0,3.0
92,7.0,7.0
93,6.0,8.0
94,9.0,8.0
95,8.0,7.0
96,10.0,10.0
97,8.0,8.0
98,9.0,10.0
99,10.0,10.0
100,10.0,10.0
101,4.0,7.0
102,6.0,8.0
103,9.0,9.0
104,10.0,10.0
105,6.0,5.0
106,10.0,9.0
107,7.0,7.0
108,8.0,8.0
109,7.0,8.0
110,6.0,7.0
111,9.0,10.0
112,8.0,9.0
113,8.0,8.0
114,5.0,9.0
