ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT-merged,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN_S1,EXPLN_S2,EXPLN_S3
R_1rwPFRLB5J0rmPA,1,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,No Prevents
R_3pQQ5m4r0hug6KP,2,Same,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Technical,No Prevents
R_3jCmsR4kFpEL3Eh,3,NA,,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,Prevents
R_5UhXbvilpndYwT1,4,I would like further information on what makes this isolated program environment fully protected from malicious files and viruses and how it can't be compromised.,,,,Gen:How?,Gen:Isolation,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Untechnical,Prevents
R_14PdyKRKcyC9mUB,5,NA,,,,,,,,,,NA,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Technical,No Prevents
R_1a804pEEXfyBVIt,6,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,No Prevents
R_7nKtfeDh7UB4LhT,7,same,,,,,,,,,,None,,,,,,,,,,,Great survey!,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,Prevents
R_1fVnEU62o25xh1g,8,How long has it been tested. Has there been any breaches?,,,,,,Use:Breaches,,,Guarantee:Testing,Same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_6pMihip2gvWByZE,9,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Technical,Prevents
R_524ilx5UnMSYEcc,10,How do I guarantee that my data will be safe?,,,,,,,,,Guarantee:General,What kind of information would they collect?,,,,Gen:Answered,,,,,,,none,,Medical-Simple,IoT-Simple,Hardware,Technical,No Prevents
R_6JWOWOpqU55zneh,11,Same,,,,,,,,,,It seems very safe. No questions,,,,,,,,,,,"Safety is very important. But, there are hackers out there.",,Medical-Simple,IoT-Complex,Hardware,Untechnical,Prevents
R_5SuX0iaMo3MeBFi,12,"How many people have access to the TEE, what are their qualifications and how do we know for sure they won't break protocol and share the data, especially if it turns out they know me personally and mention it to their friends in casual conversation.",,Risk:People,,,,,Scenario:People,,,"I would add what country is accessing this data, as this is a product and not a health research study.  If it's Chinese lightbulbs than I wouldn't trust the TEE regardless.  With a local hospital there's more reputation backing their claims.",Distrust:Manufactuerer,,,,,,,,,,"It's always going to be a risk/benefit analysis as no data shared is every 100% safe from hackers, disgruntled employees, and researchers sharing info with friends/spouses.  Or less than reputable companies claiming TEE protections but might not be carrying them out.  ",,Medical-Simple,IoT-Simple,Hardware,Technical,No Prevents
R_57Ve7Sz6TxR9K7B,13,same,,,,,,,,,,I do not have further questions about TEEs,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Untechnical,No Prevents
R_5flpGfIZI56XUG5,14,Same,,,,,,,,,,How exactly does it separate from the rest of the computer,,,,Gen:Isolation,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Untechnical,Prevents
R_3snV5y91Azbp79v,15,Same,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,Prevents
R_1kFKP2LZzazsQKZ,16,none,,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Technical,No Prevents
R_70UPQh8SKevGQN8,17,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Untechnical,No Prevents
