id,sum_score_medical,sum_score_IoT,overall_score,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,SCENARIO_Med,SCENARIO_IoT
1,7,6,13,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,Medical-Simple,IoT-Complex
2,10,9,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,Medical-Complex,IoT-Simple
3,7,6,13,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,Medical-Complex,IoT-Simple
4,7,9,16,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,Medical-Simple,IoT-Complex
5,5,5,10,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,Medical-Complex,IoT-Complex
6,10,8,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Medical-Complex,IoT-Simple
7,9,9,18,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,Medical-Simple,IoT-Complex
8,7,6,13,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,Medical-Simple,IoT-Simple
9,9,5,14,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,Medical-Complex,IoT-Complex
10,7,7,14,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,Medical-Simple,IoT-Simple
11,7,6,13,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,Medical-Simple,IoT-Complex
12,7,6,13,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,Medical-Simple,IoT-Simple
13,10,8,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,Medical-Complex,IoT-Simple
14,9,8,17,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,Medical-Simple,IoT-Complex
15,6,5,11,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,Medical-Simple,IoT-Complex
16,7,7,14,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,Medical-Complex,IoT-Complex
17,9,9,18,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,Medical-Complex,IoT-Simple
18,9,7,16,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,Medical-Complex,IoT-Complex
19,6,6,12,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,Medical-Simple,IoT-Simple
20,10,10,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Medical-Complex,IoT-Complex
21,8,9,17,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,Medical-Simple,IoT-Simple
22,8,7,15,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,Medical-Complex,IoT-Complex
23,6,3,9,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,Medical-Simple,IoT-Simple
24,8,7,15,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,Medical-Complex,IoT-Complex
25,10,10,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Medical-Complex,IoT-Complex
26,8,6,14,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,Medical-Simple,IoT-Simple
27,9,9,18,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,Medical-Simple,IoT-Simple
28,9,8,17,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,Medical-Complex,IoT-Complex
29,7,8,15,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,Medical-Simple,IoT-Simple
30,10,10,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Medical-Complex,IoT-Complex
31,10,7,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,Medical-Simple,IoT-Complex
32,8,6,14,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,Medical-Complex,IoT-Simple
33,8,8,16,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,Medical-Complex,IoT-Simple
34,9,10,19,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,Medical-Simple,IoT-Simple
35,8,8,16,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,Medical-Simple,IoT-Complex
36,9,8,17,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,Medical-Complex,IoT-Simple
37,6,6,12,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,Medical-Complex,IoT-Simple
38,10,8,18,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,Medical-Simple,IoT-Complex
39,9,10,19,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Medical-Complex,IoT-Complex
40,5,4,9,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,Medical-Simple,IoT-Complex
41,9,8,17,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,Medical-Complex,IoT-Simple
42,6,5,11,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,Medical-Simple,IoT-Simple
43,9,7,16,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,Medical-Complex,IoT-Complex
44,10,9,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,Medical-Complex,IoT-Complex
45,10,10,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Medical-Complex,IoT-Simple
46,10,10,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Medical-Complex,IoT-Simple
47,8,9,17,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,Medical-Simple,IoT-Simple
48,8,8,16,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,Medical-Simple,IoT-Complex
49,9,8,17,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,Medical-Complex,IoT-Complex
50,7,7,14,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,Medical-Simple,IoT-Complex
51,9,4,13,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,Medical-Complex,IoT-Complex
52,10,8,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,Medical-Complex,IoT-Simple
53,7,8,15,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,Medical-Simple,IoT-Simple
54,6,6,12,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,Medical-Simple,IoT-Complex
55,9,9,18,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,Medical-Complex,IoT-Simple
56,5,6,11,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,Medical-Simple,IoT-Simple
57,9,10,19,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Medical-Simple,IoT-Simple
58,9,9,18,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,Medical-Simple,IoT-Complex
59,9,8,17,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,Medical-Complex,IoT-Complex
60,6,5,11,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,Medical-Complex,IoT-Simple
