id,How confident are you that you understand what protections a TEE offers? (initial),ResponseId,How confident are you that you understand the scenario? (medical),What is the goal of the medical study? (attempt 1),What is the goal of the medical study? (attempt 2),Q296_Page Submit,How likely would you be willing to participate in the medical study?,How likely would you be willing to participate in the medical study? (free-response),"How safe do you think data would be when it is protected by a TEE? (medical, initial)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, use of a TEE)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, hospital collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, people on team)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, data collected)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, purpose of collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, other)","What questions do you still have about TEEs, if any? (medical)","TEE concept (medical, 1)","TEE concept (medical, 2)","TEE concept (medical, 3)","TEE concept (medical, 4)","TEE concept (medical, 5)","TEE concept (medical, 6)","TEE concept (medical, 7)","TEE concept (medical, 8)","TEE concept (medical, 9)","TEE concept (medical, 10)","TEE concept (medical, 11)","TEE concept (medical, 12)",How confident are you about your answers to the questions on this page? (medical),"How confident are you that you understand what protections a TEE offers? (medical, post-concepts)","How safe do you think data would be when it is protected by a TEE? (medical, post-TEE concepts)",How confident are you that you understand the scenario? (IoT),What kind of device are you shopping for? (attempt 1),What kind of device are you shopping for? (attempt 2),How likely would you be to purchase the voice assistant/light bulb?,How likely would you be to purchase the voice assistant/light bulb? (free-response),"How safe do you think data would be when it is protected by a TEE? (IoT, initial)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, use of a TEE)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, company collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, people on team)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, data collected)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, purpose of collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, other)","What questions do you still have about TEEs, if any? (IoT)","TEE concept (IoT, 1)","TEE concept (IoT, 2)","TEE concept (IoT, 3)","TEE concept (IoT, 4)","TEE concept (IoT, 5)","TEE concept (IoT, 6)","TEE concept (IoT, 7)","TEE concept (IoT, 8)","TEE concept (IoT, 9)","TEE concept (IoT, 10)","TEE concept (IoT, 11)","TEE concept (IoT, 12)",How confident are you about your answers to the questions on this page? (IoT),"How confident are you that you understand what protections a TEE offers? (IoT, post-concepts)","How safe do you think data would be when it is protected by a TEE? (IoT, post-TEE concepts)","Before this survey, were you familiar with the concept of TEEs?","Before this survey, were you familiar with the concept of TEEs? (free resposne)",Are you employed in a computing field?,Are you employed in a computing field? (free response),Do you have formal education in a computing field?,Do you have formal education in a computing field? (free response),Do you have prior experience with medical research?,Do you have prior experience with medical research? (free response),Do you work in a medical field?,Do you work in a medical field? (free response),Do you own any smart devices?,Do you own any smart devices? (free response),Do you have experience with home automation?,Do you have experience with home automation? (free response),Age,Gender,Gender (free response),Race,Race (free response),Education,Feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN,FAQ,faq1_count,faq2_count,faq3_count,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
1,Completely confident,R_5ZPLzodLXZylvq5,Completely confident,Develop an AI tool for diagnosing patients,,64.173,Definitely would,,Completely safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,Definitely safe,I feel it would be safe,None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Completely confident ,Completely confident ,Somewhat safe,Completely confident,Smart voice assistant,,Maybe would,,Somewhat safe,Definitely safe,Somewhat unsafe,Somewhat safe,Somewhat unsafe,Somewhat safe,No,None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,35-44 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Complex,1,Hardware,Show,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2,Somewhat confident,R_1wELR6sZz0R9dTn,Completely confident,Determine where to build a new hospital,,62.006,Maybe would,,Mostly safe,Somewhat unsafe,Definitely unsafe,Somewhat unsafe,Somewhat unsafe,Definitely unsafe,,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Completely confident ,Mostly safe,Completely confident,Smart light bulb,,Maybe would,,Completely safe,Somewhat safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Completely confident ,Mostly safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,25-34 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Simple,1,Unsubstantial,Show,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0
3,Not at all confident,R_1rjNObilLafcYwF,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Mostly safe,Somewhat safe,Definitely safe,Definitely safe,Somewhat safe,Somewhat safe,I think my data would be safe using TEE,How do TEE help patients with a better healthcare system?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Completely confident ,Completely confident ,Mostly safe,Completely confident,Smart voice assistant,,Maybe would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Somewhat safe,I think the voice command is usually safe if the data is secure,How does TEE prevent hackers from accessing the datas?,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Completely confident ,Completely confident ,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Male,,Asian,,"Some college, but no degree",,Medical-Simple,IoT-Complex,1,None,None,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0
4,Somewhat confident,R_3KPZjECatePQBeL,Somewhat confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Hackers can get into any computer system and no data is 100% safe. ,Have they ever been hacked into?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not ,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,No,N/A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,No,,Yes,,No,,"No, I don’t own smart devices",,35-44 years old,Prefer not to say,,Prefer not to say,,Prefer not to say,,Medical-Complex,IoT-Simple,1,Unsubstantial,None,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1
5,Not at all confident,R_5X46iFwnhZJFFxT,Completely confident,Determine where to build a new hospital,,,Would not ,,Somewhat safe,Somewhat safe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Somewhat safe,,"Again, I still struggle to know what exactly TEEs are. I understand they provide some protection but I don't know how. ",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not ,,Somewhat safe,Somewhat safe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Somewhat unsafe,,"I don't feel like enough of a description of what a TEE is was provided. I'm still left wondering exactly what it is. While it appears to be something to help with protecting data, I don't really know how it does so. ",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Not at all confident,Somewhat safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Male,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Complex,0,None,Hide,2,2,2,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
6,Not at all confident,R_7h6UkStu0zqws3n,Somewhat confident,Determine where to build a new hospital,,74.066,Definitely would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,Somewhat safe,Somewhat unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat unsafe,No,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Not at all confident,Mostly safe,No,,No,,No,,No,,Yes,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,White or Caucasian,,High school diploma or GED,No,Medical-Simple,IoT-Complex,0,Trust,Show,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
7,Not at all confident,R_2kAGRRUq5C4h6vr,Completely confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Somewhat safe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Somewhat unsafe,Somewhat unsafe,IT IS UNSAFE BECAUSE OF THE ACCESS OTHERS HAVE IN IT,HOW CAN MY DATA BE PROTECTED FROM THE FUTURE HACKERS ,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Completely confident ,Completely confident ,Somewhat safe,Not at all confident,Smart light bulb,,Would not ,,Not at all safe,Definitely unsafe,Definitely unsafe,Definitely unsafe,Definitely unsafe,Definitely unsafe,IT IS UNSAFE BECAUSE OF THE LEVEL OF SECURITY OR PROTECTION FROM HACKERS,WHY SHOULD I GET EXTRA PROTECTION IF THE INITIAL ONE IS NOT FULLY SAFE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Completely confident ,Not at all confident,Not at all safe,No,,No,,No,,"Yes, as a participant",,Yes,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,35-44 years old,Female,,Black or African American,,Bachelor’s degree,I REALLY ENJOYED THIS SURVEY AND TEEs SHOULD IMPROVE IT'S SECURITY AND PROTECTION OVER DATA,Medical-Complex,IoT-Simple,0,Trust,None,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0
8,Completely confident,R_51sIuZRXgONAhu3,Completely confident,Determine where to build a new hospital,,61.783,Definitely would,,Completely safe,Somewhat safe,Definitely safe,Somewhat safe,Definitely safe,Definitely safe,As long as they are required not to sell my info. ,None,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart light bulb,,Would not ,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,"I feel fine about it, but I also don't want it. ",None,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,25-34 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Simple,1,None,Show,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0
9,Somewhat confident,R_27p7rYk8oVC8flL,Somewhat confident,Develop an AI tool for diagnosing patients,,,Would not ,,Not at all safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Definitely unsafe,Neither safe nor unsafe,The transmission of personally identifiable information. No need to have name and address associated with the medical information.,no,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Somewhat confident,Not at all safe,Completely confident,Smart voice assistant,,Would not ,,Somewhat safe,Neither safe nor unsafe,Definitely unsafe,Somewhat unsafe,Somewhat unsafe,Definitely unsafe,"The data is being collected, so inherently it is not safe.",I would want more information about the data security measure.,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"Yes, I have used home automation, but not currently",,45-54 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Complex,IoT-Complex,0,Hardware,None,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0
10,Somewhat confident,R_3Tt1jQQlqgOihUt,Somewhat confident,Develop an AI tool for diagnosing patients,,60.909,Maybe would,,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,I feel any data can be vulnerable and exposed.,None,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Would not ,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat unsafe,Neither safe nor unsafe,Somewhat safe,I would be afraid the temptation would lead to my data being sold,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44 years old,Male,,White or Caucasian,,"Some college, but no degree",,Medical-Complex,IoT-Complex,1,Hardware,Show,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
