id,gender,age,education,previous_medical_research,medical_job,IoT_ownership,IoT_automation
1,Female,35-44,Bachelor or associate degree,False,False,True,True
2,Female,25-34,Bachelor or associate degree,True,False,True,True
3,Male,18-24,High school or equivalent,False,False,True,False
4,Prefer not to say,35-44,Prefer not to say,False,True,False,False
5,Male,25-34,Graduate degree,True,False,True,False
6,Female,25-34,High school or equivalent,False,True,True,False
7,Female,35-44,Bachelor or associate degree,True,True,True,True
8,Male,25-34,Bachelor or associate degree,False,False,True,True
9,Female,45-54,Graduate degree,False,False,True,True
10,Male,35-44,High school or equivalent,False,False,True,True
11,Female,25-34,Graduate degree,True,False,True,False
12,Female,18-24,High school or equivalent,False,False,True,False
13,Male,35-44,Bachelor or associate degree,False,False,True,True
14,Male,55+,Bachelor or associate degree,False,False,False,False
15,Male,55+,Bachelor or associate degree,True,False,True,False
16,Male,35-44,Bachelor or associate degree,False,False,True,False
17,Female,18-24,Graduate degree,False,False,True,False
18,Female,25-34,Bachelor or associate degree,True,True,True,False
19,Female,18-24,High school or equivalent,False,False,True,False
20,Male,18-24,High school or equivalent,False,False,True,False
21,Male,55+,Bachelor or associate degree,False,False,True,True
22,Male,35-44,High school or equivalent,False,False,True,True
23,Female,55+,Graduate degree,False,False,True,True
24,Female,18-24,High school or equivalent,True,False,True,False
25,Male,45-54,High school or equivalent,False,False,False,False
26,Female,55+,Bachelor or associate degree,False,False,True,False
27,Male,35-44,High school or equivalent,False,False,True,True
28,Female,45-54,Bachelor or associate degree,False,True,True,True
29,Male,18-24,High school or equivalent,False,False,True,True
30,Male,35-44,Bachelor or associate degree,False,False,True,False
31,Female,25-34,Graduate degree,False,False,False,False
32,Male,35-44,Bachelor or associate degree,False,False,True,False
33,Female,18-24,Bachelor or associate degree,True,True,True,False
34,Female,25-34,Graduate degree,False,True,True,False
35,Female,35-44,Bachelor or associate degree,False,False,True,False
36,Female,35-44,Graduate degree,False,False,True,False
37,Female,18-24,High school or equivalent,True,True,True,False
38,Female,25-34,Bachelor or associate degree,False,False,True,False
39,Female,25-34,Graduate degree,True,True,True,True
40,Female,25-34,High school or equivalent,False,False,True,False
41,Female,18-24,Bachelor or associate degree,False,False,False,False
42,Male,25-34,Bachelor or associate degree,False,False,True,True
43,Female,25-34,Bachelor or associate degree,True,True,True,True
44,Male,18-24,High school or equivalent,False,False,True,False
45,Female,18-24,Bachelor or associate degree,False,False,True,False
46,Female,25-34,High school or equivalent,False,False,False,False
47,Female,35-44,Bachelor or associate degree,True,False,False,True
48,Non-binary / third gender,18-24,High school or equivalent,False,False,False,True
49,Male,25-34,High school or equivalent,False,False,False,False
50,Female,25-34,Bachelor or associate degree,False,True,True,False
51,Female,35-44,Bachelor or associate degree,False,False,False,False
52,Female,25-34,Bachelor or associate degree,False,True,False,False
53,Male,45-54,Bachelor or associate degree,False,False,True,True
54,Female,35-44,Graduate degree,False,False,True,True
55,Female,35-44,Bachelor or associate degree,False,False,True,False
56,Female,25-34,Bachelor or associate degree,True,True,True,False
57,Female,35-44,High school or equivalent,False,False,False,False
58,Female,25-34,High school or equivalent,False,False,True,True
59,Female,25-34,Bachelor or associate degree,False,True,True,False
60,Female,35-44,High school or equivalent,False,False,True,False
61,Female,55+,High school or equivalent,False,False,True,True
62,Female,25-34,Bachelor or associate degree,True,True,True,True
63,Male,35-44,High school or equivalent,False,False,False,False
64,Non-binary / third gender,18-24,High school or equivalent,False,False,True,False
65,Male,35-44,Bachelor or associate degree,False,True,True,False
66,Male,35-44,Bachelor or associate degree,False,False,True,True
67,Female,35-44,High school or equivalent,False,False,True,True
68,Female,35-44,Bachelor or associate degree,False,False,True,False
69,Male,25-34,Have not completed high school,False,False,False,False
70,Male,45-54,Graduate degree,True,False,True,False
71,Male,35-44,Bachelor or associate degree,False,False,True,False
72,Male,18-24,High school or equivalent,False,False,True,False
73,Female,45-54,High school or equivalent,False,False,False,False
74,Male,18-24,High school or equivalent,False,False,True,True
75,Female,45-54,High school or equivalent,False,False,True,True
76,Male,55+,Bachelor or associate degree,False,False,True,True
77,Male,55+,High school or equivalent,True,False,True,False
78,Male,18-24,High school or equivalent,False,False,True,False
79,Non-binary / third gender,25-34,Bachelor or associate degree,True,False,True,False
80,Female,35-44,Bachelor or associate degree,False,True,True,True
81,Female,55+,Bachelor or associate degree,False,False,True,False
82,Female,45-54,High school or equivalent,False,False,True,False
83,Male,25-34,Bachelor or associate degree,False,False,False,False
84,Male,45-54,Graduate degree,False,False,True,True
85,Male,35-44,High school or equivalent,False,False,True,False
86,Male,25-34,Bachelor or associate degree,False,False,True,False
87,Male,25-34,Graduate degree,True,True,True,True
88,Male,25-34,Bachelor or associate degree,False,False,True,False
89,Male,35-44,Bachelor or associate degree,False,False,True,True
90,Male,25-34,Bachelor or associate degree,False,False,True,True
91,Female,55+,Bachelor or associate degree,True,True,True,True
92,Male,35-44,Graduate degree,False,False,True,True
93,Male,45-54,High school or equivalent,True,False,True,False
94,Female,18-24,Bachelor or associate degree,False,False,False,False
95,Male,35-44,High school or equivalent,True,False,True,False
96,Male,45-54,High school or equivalent,False,False,True,False
97,Male,55+,Bachelor or associate degree,False,False,True,True
98,Male,18-24,High school or equivalent,False,False,False,False
99,Male,35-44,Graduate degree,False,False,True,True
100,Female,25-34,Graduate degree,False,False,True,False
101,Female,55+,Bachelor or associate degree,False,False,True,True
102,Female,55+,Bachelor or associate degree,False,False,True,False
103,Female,25-34,Bachelor or associate degree,False,False,True,True
104,Female,25-34,High school or equivalent,True,True,True,False
105,Male,35-44,Bachelor or associate degree,True,False,True,False
106,Male,25-34,Bachelor or associate degree,True,True,True,False
107,Female,18-24,High school or equivalent,False,False,True,True
108,Male,35-44,Graduate degree,False,False,False,False
109,Female,18-24,High school or equivalent,False,True,True,False
110,Male,18-24,Bachelor or associate degree,False,False,True,False
111,Male,25-34,High school or equivalent,False,False,True,True
112,Male,18-24,High school or equivalent,False,False,False,False
113,Female,18-24,High school or equivalent,True,False,True,False
114,Female,18-24,High school or equivalent,True,False,True,False
115,Female,45-54,Bachelor or associate degree,False,False,True,False
116,Female,55+,Graduate degree,False,False,True,False
117,Female,55+,Bachelor or associate degree,True,False,True,False
