ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN,FAQ,Med_First
R_5ZPLzodLXZylvq5,1,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Show,1
R_1wELR6sZz0R9dTn,2,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Show,1
R_1rjNObilLafcYwF,3,How do TEE help patients with a better healthcare system?,,,,,,,Scenario:Misc,,,How does TEE prevent hackers from accessing the datas?,,Risk:Hacking,,,,,,,,,,,Medical-Simple,IoT-Complex,None,None,1
R_3KPZjECatePQBeL,4,Have they ever been hacked into?,,Risk:Hacking,,,,Use:Breaches,,,,N/A,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,None,1
R_5X46iFwnhZJFFxT,5,"Again, I still struggle to know what exactly TEEs are. I understand they provide some protection but I don't know how. ",,,,Gen:How?,,,,,,"I don't feel like enough of a description of what a TEE is was provided. I'm still left wondering exactly what it is. While it appears to be something to help with protecting data, I don't really know how it does so. ",,,,Gen:What?,,,,,,,,,Medical-Simple,IoT-Complex,None,Hide,0
R_7h6UkStu0zqws3n,6,No,,,,,,,,,,No,,,,,,,,,,,No,,Medical-Simple,IoT-Complex,Trust,Show,0
R_2kAGRRUq5C4h6vr,7,HOW CAN MY DATA BE PROTECTED FROM THE FUTURE HACKERS,,Risk:Hacking,,,,,,,,WHY SHOULD I GET EXTRA PROTECTION IF THE INITIAL ONE IS NOT FULLY SAFE,Distrust:Scenario,,,,,,,,,,I REALLY ENJOYED THIS SURVEY AND TEEs SHOULD IMPROVE IT'S SECURITY AND PROTECTION OVER DATA,,Medical-Complex,IoT-Simple,Trust,None,0
R_51sIuZRXgONAhu3,8,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,Show,1
R_27p7rYk8oVC8flL,9,no,,,,,,,,,,I would want more information about the data security measure.,,,,Gen:Implementation,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,None,0
R_3Tt1jQQlqgOihUt,10,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Show,1
R_7S1BG5zlC88ISuB,11,"I have never heard of a TEE, though I'm assuming it's like an NDA for the researchers ",,,,Gen:Misc,,,,,,Same as before,,,,,,,,,,,,,Medical-Simple,IoT-Complex,None,None,1
R_1dFR37Oqw6UJyfF,12,na,,,,,,,,,,NA,,,,,,,,,,,no,,Medical-Complex,IoT-Complex,Trust,Hide,0
R_2I9N1oe9ysFM79r,13,None,,,,,,,,,,Will they sell my data?,,,,,,,Scenario:Data,,,,N/A,,Medical-Complex,IoT-Simple,Unsubstantial,None,0
R_7K14tTx8MUrtHeK,14,No additional questions at this time.,,,,,,,,,,No additional questions. There is no trust in my beliefs once you turn over information to a company. Just look how some of the credit information companies had a breach and data was acccesed by people not part of the company.,Distrust:Scenario,Risk:Real,,,,,,,,,A TEE can only protect from what is know. You can not protect from an unknown bad actor.,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,0
R_5lYpcAwd0xT1O4P,15,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,None,1
R_3Cyrs6khrUSaxT1,16,I have no questions,,,,,,,,,,I have no questions,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,1
R_82rRzA7KlidMFLQ,17,I have no questions,,,,,,,,,,N/a,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,1
