ResponseId,id,"Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, other)",med_distrust,med_distrust2,med_trust,med_trust2,med_info,med_misc,safety-IoT,iot_distrust,iot_distrust2,iot_trust,iot_trust2,iot_info,iot_misc,notes,SCENARIO_Med,SCENARIO_IoT,EXPLN,FAQ,C med_distrust,C med_distrust2,C med_trust,C med_trust2,C med_info,C med_misc,C iot_distrust,C iot_distrust2,C iot_trust,C iot_trust2,C iot_info,C iot_misc,M med_distrust,M med_distrust2,M med_trust,M med_trust2,M med_info,M med_misc,M iot_distrust,M iot_distrust2,M iot_trust,M iot_trust2,M iot_info,M iot_misc
R_5ZPLzodLXZylvq5,1,I feel it would be safe,,,Trust:Vague,,,,No,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Show,,,Trust:Vague,,,,,,,,,,,,Trust:Vague,,,,,,,,,
R_1wELR6sZz0R9dTn,2,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Show,,,,,,,,,,,,,,,,,,,,,,,,
R_1rjNObilLafcYwF,3,I think my data would be safe using TEE,,,Trust:Repeat TEE,,,,I think the voice command is usually safe if the data is secure,,,,,,,,Medical-Simple,IoT-Complex,None,None,,,Trust:Repeat TEE,,,,,,,,,,,,Trust:Repeat TEE,,,,,,,,,
R_3KPZjECatePQBeL,4,Hackers can get into any computer system and no data is 100% safe.,Distrust:Gen,Distrust:Hacker,,,,,No,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,None,Distrust:Gen,Distrust:Hacker,,,,,,,,,,,Distrust:Gen,Distrust:Hacker,,,,,,,,,,
R_5X46iFwnhZJFFxT,5,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,None,Hide,,,,,,,,,,,,,,,,,,,,,,,,
R_7h6UkStu0zqws3n,6,No,,,,,,,No,,,,,,,,Medical-Simple,IoT-Complex,Trust,Show,,,,,,,,,,,,,,,,,,,,,,,,
R_2kAGRRUq5C4h6vr,7,IT IS UNSAFE BECAUSE OF THE ACCESS OTHERS HAVE IN IT,Distrust:Repeat People,,,,,,IT IS UNSAFE BECAUSE OF THE LEVEL OF SECURITY OR PROTECTION FROM HACKERS,Distrust:Hacker,,,,,,,Medical-Complex,IoT-Simple,Trust,None,Distrust:Repeat People,,,,,,Distrust:Hacker,,,,,,Distrust:Repeat People,,,,,,Distrust:Hacker,,,,,
R_51sIuZRXgONAhu3,8,As long as they are required not to sell my info.,,,,,Info:Sell,,"I feel fine about it, but I also don't want it. ",,,Trust:Vague,,,Misc:Don't Want,,Medical-Simple,IoT-Simple,None,Show,,,,,Info:Sell,,,,Trust:Vague,,,Misc:Don't Want,,,,,Info:Sell,,,,Trust:Vague,,,Misc:Don't Want
R_27p7rYk8oVC8flL,9,The transmission of personally identifiable information. No need to have name and address associated with the medical information.,Distrust:Unnecessary,,,,,,"The data is being collected, so inherently it is not safe.",Distrust:Gen,,,,,,,Medical-Complex,IoT-Complex,Hardware,None,Distrust:Unnecessary,,,,,,Distrust:Gen,,,,,,Distrust:Unnecessary,,,,,,Distrust:Gen,,,,,
R_3Tt1jQQlqgOihUt,10,I feel any data can be vulnerable and exposed.,Distrust:Gen,,,,,,I would be afraid the temptation would lead to my data being sold,Distrust:Sell,,,,,,,Medical-Complex,IoT-Complex,Hardware,Show,Distrust:Gen,,,,,,Distrust:Sell,,,,,,Distrust:Gen,,,,,,Distrust:Sell,,,,,
R_7S1BG5zlC88ISuB,11,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,None,None,,,,,,,,,,,,,,,,,,,,,,,,
R_1dFR37Oqw6UJyfF,12,no,,,,,,,they could be lying about who has access to the data,Distrust:Lie,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,,,,,,,Distrust:Lie,,,,,,,,,,,,Distrust:Lie,,,,,
R_2I9N1oe9ysFM79r,13,I'd like to know who exactly at the hospital will be using the data,,,,,Info:People,,I don't exactly know who the people are that are using the data.,,,,,Info:People,,,Medical-Complex,IoT-Simple,Unsubstantial,None,,,,,Info:People,,,,,,Info:People,,,,,,Info:People,,,,,,Info:People,
R_7K14tTx8MUrtHeK,14,Data is never safe if stored where it can be accessed over the cloud. An air gapped computer is the only way I would feel safe.,Distrust:Transmission/Store,,,,,Misc:Other Tech,Any type of data can be compromised is stored online. Agreements are only as good as the security behind how the data is stored and accessed.,Distrust:Gen,Distrust:Transmission/Store,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,Distrust:Transmission/Store,,,,,Misc:Other Tech,Distrust:Gen,Distrust:Transmission/Store,,,,,Distrust:Transmission/Store,,,,,Misc:Other Tech,Distrust:Gen,Distrust:Transmission/Store,,,,
R_5lYpcAwd0xT1O4P,15,Safe,,,Trust:Vague,,,,limited scope of collection,,,Trust:Repeat Data,,,,,Medical-Simple,IoT-Simple,Trust,None,,,Trust:Vague,,,,,,Trust:Repeat Data,,,,,,Trust:Vague,,,,,,Trust:Repeat Data,,,
R_3Cyrs6khrUSaxT1,16,It's also safe because it's not valuable or interesting.,,,Trust:Boring,,,,No,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,,,Trust:Boring,,,,,,,,,,,,Trust:Boring,,,,,,,,,
R_82rRzA7KlidMFLQ,17,"No, it seems pretty secure to ensure that my data is protected from potential malware.",,,Trust:Repeat TEE,,,,N/a,,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,,,Trust:Repeat TEE,,,,,,,,,,,,Trust:Repeat TEE,,,,,,,,,
R_7zQFP2cTNKcFoUp,18,There is always a chance of a data breach as we have constantly seen.,Distrust:Breaches,,,,,,Company can use the data for whatever they want only for their own benefit.,Distrust:Future Use,Distrust:Repeat Destination,,,,,,Medical-Simple,IoT-Simple,None,Hide,Distrust:Breaches,,,,,,Distrust:Future Use,Distrust:Repeat Destination,,,,,Distrust:Breaches,,,,,,Distrust:Future Use,Distrust:Repeat Destination,,,,
R_1CrXZ60eJo1RWX2,19,I have to share my name and address and this makes me feel like my data would be unsafe.,Distrust:Repeat Data,,,,,,"The data collected by the AI includes anything I enter into the app, collecting personal information like my name and address which makes me feel like my data would be unsafe since the AI will be keeping my personal information. ",Distrust:AI,Distrust:Repeat Data,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,Distrust:Repeat Data,,,,,,Distrust:AI,Distrust:Repeat Data,,,,,Distrust:Repeat Data,,,,,,Distrust:AI,Distrust:Repeat Data,,,,
