id,sum_score_medical,sum_score_IoT,overall_score,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,SCENARIO_Med,SCENARIO_IoT
1,12,11,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Medical-Complex,IoT-Complex
2,4,5,9,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,Medical-Simple,IoT-Simple
3,5,5,10,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,Medical-Simple,IoT-Complex
4,8,8,16,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,Medical-Complex,IoT-Simple
5,9,10,19,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,Medical-Simple,IoT-Complex
6,11,10,21,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,Medical-Simple,IoT-Complex
7,6,6,12,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,Medical-Complex,IoT-Simple
8,7,5,12,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,Medical-Simple,IoT-Simple
9,7,7,14,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,Medical-Complex,IoT-Complex
10,9,7,16,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,Medical-Complex,IoT-Complex
11,7,7,14,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,Medical-Simple,IoT-Complex
12,6,7,13,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,Medical-Complex,IoT-Complex
13,6,7,13,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,Medical-Complex,IoT-Simple
14,7,6,13,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,Medical-Simple,IoT-Simple
15,6,8,14,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,Medical-Simple,IoT-Simple
16,9,7,16,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,Medical-Complex,IoT-Complex
